"relative_path","role","sha256","bytes","modified_utc","is_symlink","symlink_target","current_exists","observed_sha256","observed_bytes","disposition"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","h09_protected","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"2026-08-10T15:13:14.029885Z UTC",FALSE,,TRUE,"09b604b011ef14c138c15720b419a9ca200e15f71ce3e40a9b85c23f6803f96d",631401,"CHANGED"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.qmd","h09_protected","4640129c38a5aabd874549ff8d5ebc74b736a16fe6f900f4654b1573b2b69f5c",43562,"2026-08-10T15:13:14.031988Z UTC",FALSE,,TRUE,"394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f",51736,"CHANGED"
"_build/nathealth/notebooks/hypotheses/H09.html","h09_protected","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"2026-08-22T07:15:13.203920Z UTC",FALSE,,TRUE,"901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"HISTORICAL_EXACT"
"_build/nathealth/supplementary_information.html","h09_protected","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"2026-08-20T10:07:18.760657Z UTC",FALSE,,TRUE,"a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"HISTORICAL_EXACT"
"_quarto-nathealth.yml","h09_protected","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14T14:21:45.336235Z UTC",FALSE,,TRUE,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"HISTORICAL_EXACT"
"_quarto.yml","h09_protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03T18:42:18.747725Z UTC",FALSE,,TRUE,"44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_author_approvals.csv","h09_protected","a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,"2026-08-10T08:03:56.131660Z UTC",FALSE,,TRUE,"a7788bb72fe19e68aa3f3116554ffc215299422596dc6863538fbfc069757070",1142,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_base_bundle_audit.csv","h09_protected","21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"2026-08-11T23:55:46.880013Z UTC",FALSE,,TRUE,"21e8a8f965de898e88fc3ab6702e3b26472be3b345e7aa0f4e39df07a42255ae",491,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_family_registry.csv","h09_protected","92862d3d769d0822916a4b94c10dc71c56b4feae9547e7ba8903b05bc9121f44",375,"2026-08-10T08:03:56.476549Z UTC",FALSE,,TRUE,"92862d3d769d0822916a4b94c10dc71c56b4feae9547e7ba8903b05bc9121f44",375,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_formula_registry.csv","h09_protected","d315e77544ab99138dc72023360a0baac7d81ed3636a58fd76725ce3fefa233d",2898,"2026-08-10T08:03:56.559899Z UTC",FALSE,,TRUE,"d315e77544ab99138dc72023360a0baac7d81ed3636a58fd76725ce3fefa233d",2898,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_gap_common_sample_audit.csv","h09_protected","53bc4d1d952ddf97a0805de4f8bd172f52e6b8b345003b2285d4003336c0d105",3963,"2026-08-10T08:03:58.577071Z UTC",FALSE,,TRUE,"53bc4d1d952ddf97a0805de4f8bd172f52e6b8b345003b2285d4003336c0d105",3963,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_input_audit.csv","h09_protected","1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,"2026-08-22T09:43:02.564915Z UTC",FALSE,,TRUE,"1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,"HISTORICAL_EXACT"
"artifacts/06_model_data/H09/H09_metric_display_audit.csv","h09_protected","03e8d9a248b4d70c240e78dbfa7b78461fc20ec889976202a09067395cb2bdbd",2320,"2026-08-10T08:03:56.714307Z UTC",FALSE,,TRUE,"03e8d9a248b4d70c240e78dbfa7b78461fc20ec889976202a09067395cb2bdbd",2320,"HISTORICAL_EXACT"
