"domain","check","observed","expected","status"
"source","exact postimage and block-only reversal","394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f/51736/286c391fb228268804ba199d38bd5341509b3a66d434e30aa09fc1007a19443e/48400","394a976e.../51736/286c391f.../48400","PASS"
"authority","36-row dispatch with authorized source transition","36/36","36/36 exact unique non-circular","PASS"
"authority","35-row independent acceptance seal","35/35","35/35 exact unique non-circular","PASS"
"stopped state","owner seal and stopped checks","58/17","58/17","PASS"
"transition authority","sealed historical-to-live set","19/19/19","19/19/19","PASS"
"source execution","all chunks, later chunks, endpoints, links, and prohibited calls","22/3/19/1/1/23/22/0","22/3/19/1/1/23/22/0","PASS"
"helper inventory","unique non-circular target inventory","554/0","554/0","PASS"
"semantics","19-table repair, reversal, reapplication, and scoped headers","19/102/588/690","19/102/588/690","PASS"
"preservation","protected baseline with only authorized target transitions","545/545","545/545","PASS"
"preservation","historical source-side support tree","16/16","16/16","PASS"
"build","held 851-file build baseline","851/851","851/851","PASS"
"process","no competing render, helper, semantic, or loopback process","0","0","PASS"
