run_id,run_order,run_label,placement_label,measure,row_type,metric_order,metric_id,manuscript_category,manuscript_name,estimate,conf_low,conf_high,bootstrap_successful_used,supported_n,unsupported_n,term_supported
main__glasses__all_available,1,Main near-eye,Near eye,conditional_r2,Grand average,0,grand_average,Grand average,Grand average,0.377526061362017,NA,NA,NA,NA,NA,NA
main__glasses__all_available,1,Main near-eye,Near eye,latitude_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.038162200429207344,NA,NA,NA,7,10,NA
main__glasses__all_available,1,Main near-eye,Near eye,marginal_r2,Grand average,0,grand_average,Grand average,Grand average,0.14693681208787718,NA,NA,NA,NA,NA,NA
main__glasses__all_available,1,Main near-eye,Near eye,participant_associated_share,Grand average,0,grand_average,Grand average,Grand average,0.2613344825106918,NA,NA,NA,NA,NA,NA
main__glasses__all_available,1,Main near-eye,Near eye,photoperiod_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.05856215639683637,NA,NA,NA,12,5,NA
main__glasses__all_available,1,Main near-eye,Near eye,site_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.08668527983430445,NA,NA,NA,10,7,NA
main__glasses__all_available,1,Main near-eye,Near eye,unrepresented_share,Grand average,0,grand_average,Grand average,Grand average,0.622473938637983,NA,NA,NA,NA,NA,NA
main__chest__all_available,2,Main chest,Chest,conditional_r2,Grand average,0,grand_average,Grand average,Grand average,0.3535138543416199,NA,NA,NA,NA,NA,NA
main__chest__all_available,2,Main chest,Chest,latitude_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.06136357357046539,NA,NA,NA,9,8,NA
main__chest__all_available,2,Main chest,Chest,marginal_r2,Grand average,0,grand_average,Grand average,Grand average,0.12111624852221152,NA,NA,NA,NA,NA,NA
main__chest__all_available,2,Main chest,Chest,participant_associated_share,Grand average,0,grand_average,Grand average,Grand average,0.26338395326199615,NA,NA,NA,NA,NA,NA
main__chest__all_available,2,Main chest,Chest,photoperiod_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.03336278445600814,NA,NA,NA,11,6,NA
main__chest__all_available,2,Main chest,Chest,site_part_r2,Grand average,0,grand_average,Grand average,Grand average,0.09679802093730093,NA,NA,NA,13,4,NA
main__chest__all_available,2,Main chest,Chest,unrepresented_share,Grand average,0,grand_average,Grand average,Grand average,0.6464861456583801,NA,NA,NA,NA,NA,NA
