Category,Metric,Model R²,Fixed effects R²,Participant-associated,Not represented,Site part R²,Photoperiod part R²,Latitude part R²,row_type,site_supported,photoperiod_supported,latitude_supported
Grand average,Grand average,35.4%,12.1%,26.3%,64.6%,9.7% (13/4),3.3% (11/6),6.1% (9/8),Grand average,NA,NA,NA
Dynamics,Interdaily stability,3.4% [2.5–16.6],3.4% [2.5–16.6],Not estimable,96.6% [83.4–97.5],1.6% [1.6–13.5],0.3% [0.0–4.5],0.1% [0.0–3.8],Metric,FALSE,FALSE,FALSE
Dynamics,Intradaily variability,11.4% [7.3–25.8],11.4% [7.3–25.8],Not estimable,88.6% [74.2–92.7],6.3% [3.5–19.3],2.0% [0.0–8.3],0.8% [0.0–5.9],Metric,FALSE,FALSE,FALSE
Level,Mean melEDI,43.7% [37.0–51.2],14.2% [9.2–22.5],29.5% [21.8–36.2],56.3% [48.8–63.0],6.5% [3.8–13.3],4.4% [1.2–9.1],0.2% [0.0–1.8],Metric,TRUE,TRUE,FALSE
Level,Brightest 10 h mean,33.5% [27.2–41.3],10.5% [6.6–17.9],23.0% [15.6–29.5],66.5% [58.7–72.8],5.0% [2.8–11.0],2.9% [0.5–6.5],0.2% [0.0–2.1],Metric,TRUE,TRUE,FALSE
Level,Darkest 10 h mean,51.7% [45.7–58.9],13.8% [9.5–23.1],37.9% [29.2–44.7],48.3% [41.1–54.3],11.7% [7.2–20.2],2.3% [0.2–6.4],3.9% [0.7–8.1],Metric,TRUE,TRUE,TRUE
Duration,"Time above 1,000 lx melEDI",47.7% [39.3–54.4],19.2% [14.0–29.4],28.6% [18.4–33.5],52.3% [45.6–60.7],7.2% [4.4–15.0],6.2% [2.3–11.9],2.2% [0.1–6.1],Metric,TRUE,TRUE,TRUE
Duration,Time above 250 lx melEDI during wake,42.3% [33.5–49.7],14.7% [10.0–24.2],27.6% [17.6–32.5],57.7% [50.3–66.5],8.0% [4.7–15.7],4.8% [1.4–10.1],0.0% [-0.0–1.5],Metric,TRUE,TRUE,FALSE
Duration,Time below 10 lx melEDI before sleep,29.3% [23.1–38.5],3.1% [1.8–9.6],26.2% [18.6–32.4],70.7% [61.5–76.9],2.7% [1.4–8.7],1.7% [0.1–5.4],0.1% [0.0–1.9],Metric,FALSE,TRUE,FALSE
Duration,Time below 1 lx melEDI during sleep,31.9% [24.1–39.2],7.5% [4.9–14.7],24.4% [15.3–29.1],68.1% [60.8–75.9],6.4% [3.9–13.3],0.6% [0.0–2.8],2.7% [0.5–6.8],Metric,TRUE,FALSE,TRUE
Duration,Longest continuous period above 250 lx melEDI,26.8% [20.6–34.7],7.1% [4.1–13.8],19.7% [12.7–26.1],73.2% [65.3–79.4],2.4% [1.3–7.1],2.9% [0.6–6.4],0.5% [0.0–2.1],Metric,FALSE,TRUE,FALSE
Timing,Midpoint of the brightest 10 hours,25.0% [19.3–32.9],12.7% [8.9–19.1],12.4% [6.7–17.7],75.0% [67.1–80.7],12.3% [8.4–18.6],0.1% [0.0–1.3],7.4% [4.0–11.8],Metric,TRUE,FALSE,TRUE
Timing,Midpoint of the darkest 10 hours,32.4% [26.2–40.8],12.7% [8.9–20.1],19.7% [13.0–25.8],67.6% [59.2–73.8],11.2% [7.4–18.1],1.4% [0.1–4.2],5.6% [2.4–10.2],Metric,TRUE,TRUE,TRUE
Timing,Mean timing of exposure above 250 lx melEDI,33.3% [27.5–40.6],23.8% [19.1–30.6],9.4% [4.5–14.1],66.7% [59.4–72.5],21.7% [16.8–28.0],0.8% [0.0–2.4],15.2% [10.2–20.4],Metric,TRUE,TRUE,TRUE
Timing,First light timing above 250 lx melEDI,37.8% [31.2–46.0],16.1% [11.4–24.4],21.7% [15.1–27.8],62.2% [54.0–68.8],15.8% [10.9–23.4],0.4% [0.0–2.4],5.8% [2.3–11.0],Metric,TRUE,FALSE,TRUE
Timing,Last light timing above 250 lx melEDI,35.4% [28.6–43.7],17.8% [13.2–25.5],17.6% [10.9–24.0],64.6% [56.3–71.4],9.0% [5.5–15.1],4.1% [1.2–8.3],7.1% [3.4–12.1],Metric,TRUE,TRUE,TRUE
Exposure history,melEDI dose,26.7% [21.0–34.7],9.4% [5.8–15.9],17.3% [11.1–23.2],73.3% [65.3–79.0],3.5% [1.9–8.6],5.1% [1.7–9.4],0.3% [0.0–2.1],Metric,TRUE,TRUE,FALSE
Spectrum,Melanopic daylight efficacy ratio,88.6% [86.2–91.1],8.4% [5.6–20.5],80.1% [68.6–83.6],11.4% [8.9–13.8],7.7% [4.6–18.8],2.2% [0.0–8.2],5.2% [0.5–12.4],Metric,TRUE,FALSE,TRUE
