Topic,Preregistered or expected,Analysis used
Placement,Chest measurements were primary and near-eye measurements a robustness repeat.,Near-eye measurements are primary; chest measurements are complementary and placements are not pooled.
Inclusion and support,Protocol eligibility and fixed daily/hourly coverage exclusions defined the sample.,Verified participant-day coverage is followed by metric-specific support; every fitted model reports its exact rows and support hours.
Sleep and non-wear,Logged non-wear and sleep exclusions were applied without a fully specified state hierarchy.,"Diary sleep has precedence, invalid non-wear is masked consistently, and sleep measurements are described as the bedside environment rather than ocular exposure."
Upper light boundary,"Values above 120,000 lx were to be removed.","The verified analytical melEDI signal retains values strictly below 100,000 lx."
Darkest-window level,The level metric used the five darkest hours.,The specified metric is the mean melEDI during the darkest 10 hours.
Threshold timing,The timing outcome was the midpoint of the longest period above 250 lx.,The registered midpoint of the longest qualifying period is retained. Mean timing above 250 lx melEDI is a distinct circular duration-weighted metric and is labelled as an adapted sensitivity; period construction follows verified continuity and support rules.
Site and latitude,One model included both site and latitude.,"Because each site has one latitude, fixed-site and linear-latitude models are fitted separately on identical rows and compared for adequacy."
Photoperiod scope,Photoperiod adjustment was specified for duration metrics.,Photoperiod is included in the common model implementation for all 17 metrics.
Response models,Linear mixed models were specified generically.,Each metric uses its specified Gaussian transformation or Tweedie log-link response model.
Multiplicity,False-discovery-rate control was required within H1 but the exact vectors were not specified.,"Four separate complete 17-test Benjamini–Hochberg families are used for site, photoperiod, latitude, and site-versus-latitude adequacy."
Site follow-ups,Site coefficients were reported without a fixed hierarchical follow-up rule.,"Only after a supported overall site test, each site is compared with the equally weighted overall site mean and the site contrasts are adjusted within metric."
"Variation, uncertainty, and exact samples",Conditional R² and significance-dependent component summaries were used without joint interval estimation or exact model-specific sample reporting.,"Marginal and conditional R², participant-associated share, and non-overlapping term part-R² summaries use 1,000 successful joint bootstrap refits in the full run and 95% intervals; exact model-specific samples are reported."
Model comparison,Fixed-effect structures had been compared using REML-derived criteria.,Gaussian fixed-effect comparisons use maximum likelihood; final Gaussian estimation uses REML where applicable.
Full-day construct,The intended relation between worn exposure and sleep-period environmental measurement was implicit.,The 24-hour record retains both constructs but keeps their interpretations distinct.
Melanopic daylight efficacy ratio,MDER summarizes momentary melEDI-to-photopic-illuminance ratios; the preregistration did not specify a ratio-of-integrals definition.,"MDER is the arithmetic mean of viable one-minute melEDI-to-photopic-illuminance ratios. Both channels must be finite and strictly positive, and at least 720 viable minutes are required on the complete 1,440-minute local wall-clock grid."
Interdaily stability and intradaily variability,Incomplete repeated-day support could enter the dynamics metrics.,Dynamics metrics use verified temporal support and report participant-level model rows plus contributing participant-days.
"Windows, periods, and timing",Missing intervals could be bridged or incomplete windows summarized.,"Windows and continuous periods use support, continuity, gap, wrapping, and tie rules fixed before modelling."
melEDI dose,Dose could be a partial sum without a defined support denominator.,Dose is time-sensitive and retained only with the specified interval support.
Time axes and source epochs,A single local time axis and one assumed source epoch were used.,"Absolute time governs ordering and duration, local wall time governs clock metrics, repeated fall-back bins are handled explicitly, and each source epoch is respected."
Participant-day plausibility,The preregistration uses coverage and signal-validity rules but does not specify exclusion of an otherwise eligible complete exact-zero melEDI day.,An otherwise eligible participant-day is excluded only when every finite one-minute melEDI value is exactly 0 lx; individual zeros remain valid and retaining these days is a sensitivity analysis.
Pre-sleep duration,The label implied a single three-hour window before sleep.,The outcome is calendar-day cumulative time below 10 lx melEDI across every diary-defined pre-sleep interval; values strictly above six hours trigger a diagnostic warning but are not capped.
Darkest-10-hour midpoint,The clock response was linearized around noon.,The primary conversion subtracts 24 hours only for values strictly after 16:00; the noon cut is a registered same-row sensitivity.
