Category,Metric,Photoperiod effect (95% CI),Photoperiod raw p,Photoperiod FDR-adjusted p,photoperiod_bold,Latitude effect per 10° (95% CI),Latitude raw p,Latitude FDR-adjusted p,latitude_bold,Participants,Participant-days,Observations,Sites
Dynamics,Interdaily stability,×0.99 [0.95–1.03],0.521,0.509,FALSE,×0.99 [0.95–1.03],0.633,0.669,FALSE,153,900,153,8
Dynamics,Intradaily variability,-0.03 [-0.07–0.00],0.070,0.083,FALSE,0.02 [-0.01–0.06],0.250,0.349,FALSE,153,900,153,8
Level,Mean melEDI,×1.14 [1.07–1.21],<0.001,<0.001,TRUE,×0.98 [0.92–1.04],0.419,0.503,FALSE,154,902,902,8
Level,Brightest 10 h mean,×1.18 [1.08–1.29],<0.001,<0.001,TRUE,×1.04 [0.96–1.14],0.326,0.421,FALSE,154,902,902,8
Level,Darkest 10 h mean,×1.07 [1.02–1.12],0.006,0.012,TRUE,×0.92 [0.88–0.97],<0.001,0.002,TRUE,154,902,902,8
Duration,"Time above 1,000 lx melEDI",×1.17 [1.10–1.24],<0.001,<0.001,TRUE,×0.93 [0.87–0.99],0.015,0.030,TRUE,154,902,902,8
Duration,Time above 250 lx melEDI during wake,×1.11 [1.06–1.17],<0.001,<0.001,TRUE,×1.00 [0.95–1.06],0.910,0.910,FALSE,154,818,818,8
Duration,Time below 10 lx melEDI before sleep,-0.08 [-0.14–-0.02] h,0.012,0.017,TRUE,0.02 [-0.04–0.07] h,0.595,0.669,FALSE,153,743,743,8
Duration,Time below 1 lx melEDI during sleep,×0.99 [0.97–1.00],0.110,0.135,FALSE,×1.03 [1.01–1.04],0.001,0.003,TRUE,154,861,861,8
Duration,Longest continuous period above 250 lx melEDI,×1.09 [1.04–1.14],<0.001,<0.001,TRUE,×0.97 [0.93–1.01],0.150,0.251,FALSE,154,902,902,8
Timing,Midpoint of the brightest 10 hours,0.05 [-0.05–0.14] h,0.326,0.331,FALSE,0.30 [0.21–0.40] h,<0.001,<0.001,TRUE,154,902,902,8
Timing,Midpoint of the darkest 10 hours,-0.12 [-0.22–-0.03] h,0.010,0.016,TRUE,0.23 [0.14–0.32] h,<0.001,<0.001,TRUE,154,902,902,8
Timing,Mean timing of exposure above 250 lx melEDI,0.11 [0.02–0.19] h,0.019,0.026,TRUE,0.43 [0.34–0.52] h,<0.001,<0.001,TRUE,154,831,831,8
Timing,First light timing above 250 lx melEDI,-0.09 [-0.23–0.05] h,0.198,0.208,FALSE,0.34 [0.19–0.48] h,<0.001,<0.001,TRUE,154,802,802,8
Timing,Last light timing above 250 lx melEDI,0.29 [0.17–0.42] h,<0.001,<0.001,TRUE,0.35 [0.23–0.47] h,<0.001,<0.001,TRUE,154,787,787,8
Exposure history,melEDI dose,×1.23 [1.13–1.33],<0.001,<0.001,TRUE,×0.95 [0.88–1.03],0.224,0.340,FALSE,154,851,851,8
Spectrum,Melanopic daylight efficacy ratio,0.02 [0.00–0.04],0.045,0.054,FALSE,-0.03 [-0.05–-0.01],0.002,0.005,TRUE,152,732,732,8
