Scenario,Conversion,Question,Raw p,FDR-adjusted p,adjusted_bold,Multiplicity
Near eye: all available,Strictly after 12:00,Overall site,<0.001,—,FALSE,Outside primary multiplicity families
Near eye: all available,Strictly after 12:00,Photoperiod,0.003,—,FALSE,Outside primary multiplicity families
Near eye: all available,Strictly after 12:00,Latitude,0.034,—,FALSE,Outside primary multiplicity families
Near eye: all available,Strictly after 12:00,Site versus linear latitude,0.002,—,FALSE,Outside primary multiplicity families
Near eye: all available,Strictly after 16:00,Overall site,0.010,0.020,TRUE,Primary 17-test FDR family
Near eye: all available,Strictly after 16:00,Photoperiod,0.002,0.004,TRUE,Primary 17-test FDR family
Near eye: all available,Strictly after 16:00,Latitude,0.054,0.114,FALSE,Primary 17-test FDR family
Near eye: all available,Strictly after 16:00,Site versus linear latitude,0.023,0.043,TRUE,Primary 17-test FDR family
Chest: all available,Strictly after 12:00,Overall site,<0.001,—,FALSE,Outside primary multiplicity families
Chest: all available,Strictly after 12:00,Photoperiod,0.033,—,FALSE,Outside primary multiplicity families
Chest: all available,Strictly after 12:00,Latitude,<0.001,—,FALSE,Outside primary multiplicity families
Chest: all available,Strictly after 12:00,Site versus linear latitude,<0.001,—,FALSE,Outside primary multiplicity families
Chest: all available,Strictly after 16:00,Overall site,<0.001,<0.001,TRUE,Primary 17-test FDR family
Chest: all available,Strictly after 16:00,Photoperiod,0.009,0.016,TRUE,Primary 17-test FDR family
Chest: all available,Strictly after 16:00,Latitude,<0.001,<0.001,TRUE,Primary 17-test FDR family
Chest: all available,Strictly after 16:00,Site versus linear latitude,<0.001,<0.001,TRUE,Primary 17-test FDR family
