Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,141,816,141,18851.0,9,Fitted
Intradaily variability,Participant,141,816,141,18851.0,9,Fitted
Mean melEDI,Participant-day,141,816,816,18851.0,9,Fitted
Brightest 10 h mean,Participant-day,141,816,816,Unavailable,9,Fitted
Darkest 10 h mean,Participant-day,141,816,816,Unavailable,9,Fitted
"Time above 1,000 lx melEDI",Participant-day,141,816,816,18851.0,9,Fitted
Time above 250 lx melEDI during wake,Participant-day,141,737,737,9174.3,9,Fitted
Time below 10 lx melEDI before sleep,Participant-day,139,655,655,1925.5,9,Fitted
Time below 1 lx melEDI during sleep,Participant-day,141,778,778,6282.5,9,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,141,816,816,18851.0,9,Fitted
Midpoint of the brightest 10 hours,Participant-day,141,816,816,Unavailable,9,Fitted
Midpoint of the darkest 10 hours,Participant-day,141,816,816,Unavailable,9,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,141,742,742,17209.6,9,Fitted
First light timing above 250 lx melEDI,Participant-day,140,727,727,16832.5,9,Fitted
Last light timing above 250 lx melEDI,Participant-day,141,687,687,15995.0,9,Fitted
melEDI dose,Participant-day,141,761,761,17678.8,9,Fitted
Melanopic daylight efficacy ratio,Participant-day,137,702,702,10949.9,9,Fitted
