Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,154,897,154,Unavailable,8,Fitted
Intradaily variability,Participant,154,897,154,Unavailable,8,Fitted
Mean melEDI,Participant-day,154,897,897,Unavailable,8,Fitted
Brightest 10 h mean,Participant-day,154,897,897,Unavailable,8,Fitted
Darkest 10 h mean,Participant-day,154,897,897,Unavailable,8,Fitted
"Time above 1,000 lx melEDI",Participant-day,154,897,897,Unavailable,8,Fitted
Time above 250 lx melEDI during wake,Participant-day,153,839,839,Unavailable,8,Fitted
Time below 10 lx melEDI before sleep,Participant-day,154,867,867,Unavailable,8,Fitted
Time below 1 lx melEDI during sleep,Participant-day,154,878,878,Unavailable,8,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,154,897,897,Unavailable,8,Fitted
Midpoint of the brightest 10 hours,Participant-day,154,897,897,Unavailable,8,Fitted
Midpoint of the darkest 10 hours,Participant-day,154,897,897,Unavailable,8,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,154,867,867,Unavailable,8,Fitted
First light timing above 250 lx melEDI,Participant-day,154,867,867,Unavailable,8,Fitted
Last light timing above 250 lx melEDI,Participant-day,154,867,867,Unavailable,8,Fitted
melEDI dose,Participant-day,154,897,897,Unavailable,8,Fitted
Melanopic daylight efficacy ratio,Participant-day,152,723,723,Unavailable,8,Fitted
