Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,153,900,153,20845.4,8,Fitted
Intradaily variability,Participant,153,900,153,20845.4,8,Fitted
Mean melEDI,Participant-day,154,902,902,20891.8,8,Fitted
Brightest 10 h mean,Participant-day,154,902,902,Unavailable,8,Fitted
Darkest 10 h mean,Participant-day,154,902,902,Unavailable,8,Fitted
"Time above 1,000 lx melEDI",Participant-day,154,902,902,20891.8,8,Fitted
Time above 250 lx melEDI during wake,Participant-day,154,818,818,10297.7,8,Fitted
Time below 10 lx melEDI before sleep,Participant-day,153,743,743,2180.1,8,Fitted
Time below 1 lx melEDI during sleep,Participant-day,154,861,861,6871.4,8,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,154,902,902,20891.8,8,Fitted
Midpoint of the brightest 10 hours,Participant-day,154,902,902,Unavailable,8,Fitted
Midpoint of the darkest 10 hours,Participant-day,154,902,902,Unavailable,8,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,154,831,831,19336.1,8,Fitted
First light timing above 250 lx melEDI,Participant-day,154,802,802,18634.7,8,Fitted
Last light timing above 250 lx melEDI,Participant-day,154,787,787,18358.1,8,Fitted
melEDI dose,Participant-day,154,851,851,19814.9,8,Fitted
Melanopic daylight efficacy ratio,Participant-day,152,732,732,11145.3,8,Fitted
