Placement,Metric,Site omissions,Successful refits,Minimum effect,Maximum effect,Range crosses null
Near eye,Interdaily stability,9,9,0.95,1.03,No
Near eye,Intradaily variability,9,9,-0.05,-0.02,No
Near eye,Mean melEDI,9,9,0.99,1.20,Yes
Near eye,Brightest 10 h mean,9,9,1.07,1.30,No
Near eye,Darkest 10 h mean,9,9,0.91,1.08,Yes
Near eye,"Time above 1,000 lx melEDI",9,9,0.99,1.20,Yes
Near eye,Time above 250 lx melEDI during wake,9,9,1.10,1.15,No
Near eye,Time below 10 lx melEDI before sleep,9,9,-0.03,0.12,Yes
Near eye,Time below 1 lx melEDI during sleep,9,9,0.99,1.02,Yes
Near eye,Longest continuous period above 250 lx melEDI,9,9,1.05,1.08,No
Near eye,Midpoint of the brightest 10 hours,9,9,0.05,0.26,No
Near eye,Midpoint of the darkest 10 hours,9,9,0.07,0.18,No
Near eye,Mean timing of exposure above 250 lx melEDI,9,9,0.25,0.40,No
Near eye,First light timing above 250 lx melEDI,9,9,-0.06,0.10,Yes
Near eye,Last light timing above 250 lx melEDI,9,9,0.27,0.59,No
Near eye,melEDI dose,9,9,0.98,1.09,Yes
Near eye,Melanopic daylight efficacy ratio,9,9,-0.02,-0.00,No
Chest,Interdaily stability,8,8,0.98,1.00,No
Chest,Intradaily variability,8,8,-0.03,0.04,Yes
Chest,Mean melEDI,8,8,0.92,1.10,Yes
Chest,Brightest 10 h mean,8,8,0.97,1.25,Yes
Chest,Darkest 10 h mean,8,8,0.90,0.95,No
Chest,"Time above 1,000 lx melEDI",8,8,0.91,0.96,No
Chest,Time above 250 lx melEDI during wake,8,8,0.97,1.10,Yes
Chest,Time below 10 lx melEDI before sleep,8,8,-0.02,0.04,Yes
Chest,Time below 1 lx melEDI during sleep,8,8,1.02,1.03,No
Chest,Longest continuous period above 250 lx melEDI,8,8,0.96,1.01,Yes
Chest,Midpoint of the brightest 10 hours,8,8,0.20,0.41,No
Chest,Midpoint of the darkest 10 hours,8,8,0.16,0.33,No
Chest,Mean timing of exposure above 250 lx melEDI,8,8,0.25,0.52,No
Chest,First light timing above 250 lx melEDI,8,8,-0.00,0.46,Yes
Chest,Last light timing above 250 lx melEDI,8,8,0.30,0.40,No
Chest,melEDI dose,8,8,0.93,0.97,No
Chest,Melanopic daylight efficacy ratio,8,8,-0.06,-0.02,No
