Metric,Unit,Participants,Days,Observations,Support hours,Sites,Status
Interdaily stability,Participant,141,811,141,Unavailable,9,Fitted
Intradaily variability,Participant,141,811,141,Unavailable,9,Fitted
Mean melEDI,Participant-day,141,811,811,Unavailable,9,Fitted
Brightest 10 h mean,Participant-day,141,811,811,Unavailable,9,Fitted
Darkest 10 h mean,Participant-day,141,811,811,Unavailable,9,Fitted
"Time above 1,000 lx melEDI",Participant-day,141,811,811,Unavailable,9,Fitted
Time above 250 lx melEDI during wake,Participant-day,140,755,755,Unavailable,9,Fitted
Time below 10 lx melEDI before sleep,Participant-day,141,780,780,Unavailable,9,Fitted
Time below 1 lx melEDI during sleep,Participant-day,141,790,790,Unavailable,9,Fitted
Longest continuous period above 250 lx melEDI,Participant-day,141,811,811,Unavailable,9,Fitted
Midpoint of the brightest 10 hours,Participant-day,141,811,811,Unavailable,9,Fitted
Midpoint of the darkest 10 hours,Participant-day,141,811,811,Unavailable,9,Fitted
Mean timing of exposure above 250 lx melEDI,Participant-day,141,778,778,Unavailable,9,Fitted
First light timing above 250 lx melEDI,Participant-day,141,778,778,Unavailable,9,Fitted
Last light timing above 250 lx melEDI,Participant-day,141,778,778,Unavailable,9,Fitted
melEDI dose,Participant-day,141,811,811,Unavailable,9,Fitted
Melanopic daylight efficacy ratio,Participant-day,137,687,687,Unavailable,9,Fitted
