Placement,Metric,Site-average estimate,Observed-sample estimate,Difference
Near eye,Interdaily stability,0.31,0.31,0.00
Near eye,Intradaily variability,1.25,1.23,-0.02
Near eye,Mean melEDI,4.65,4.80,0.16
Near eye,Brightest 10 h mean,82.67,87.72,5.05
Near eye,Darkest 10 h mean,0.13,0.13,-0.00
Near eye,"Time above 1,000 lx melEDI",0.84,0.89,0.06
Near eye,Time above 250 lx melEDI during wake,2.41,2.54,0.13
Near eye,Time below 10 lx melEDI before sleep,1.92,1.85,-0.07
Near eye,Time below 1 lx melEDI during sleep,6.90,6.95,0.04
Near eye,Longest continuous period above 250 lx melEDI,0.57,0.60,0.03
Near eye,Midpoint of the brightest 10 hours,13.83,13.92,0.10
Near eye,Midpoint of the darkest 10 hours,2.94,2.99,0.06
Near eye,Mean timing of exposure above 250 lx melEDI,13.32,13.51,0.19
Near eye,First light timing above 250 lx melEDI,9.36,9.45,0.09
Near eye,Last light timing above 250 lx melEDI,17.71,17.91,0.19
Near eye,melEDI dose,4090.35,4412.94,322.59
Near eye,Melanopic daylight efficacy ratio,0.73,0.72,-0.00
Chest,Interdaily stability,0.30,0.30,0.00
Chest,Intradaily variability,1.30,1.28,-0.03
Chest,Mean melEDI,3.87,4.08,0.21
Chest,Brightest 10 h mean,69.69,74.66,4.97
Chest,Darkest 10 h mean,0.10,0.11,0.01
Chest,"Time above 1,000 lx melEDI",0.97,1.03,0.06
Chest,Time above 250 lx melEDI during wake,2.43,2.56,0.13
Chest,Time below 10 lx melEDI before sleep,1.99,1.94,-0.05
Chest,Time below 1 lx melEDI during sleep,7.13,7.09,-0.03
Chest,Longest continuous period above 250 lx melEDI,0.54,0.56,0.02
Chest,Midpoint of the brightest 10 hours,13.82,13.70,-0.12
Chest,Midpoint of the darkest 10 hours,2.86,2.75,-0.12
Chest,Mean timing of exposure above 250 lx melEDI,13.48,13.29,-0.19
Chest,First light timing above 250 lx melEDI,9.50,9.27,-0.23
Chest,Last light timing above 250 lx melEDI,17.97,17.89,-0.08
Chest,melEDI dose,5160.20,5421.32,261.12
Chest,Melanopic daylight efficacy ratio,0.76,0.76,-0.00
