Metric,Site,Difference or ratio (95% CI),Raw p,Within-metric FDR-adjusted p,adjusted_bold,Supported
Mean melEDI,Borås (SE),×1.03 [0.72–1.47],0.859,0.986,FALSE,No
Mean melEDI,Delft (NL),×0.96 [0.68–1.34],0.805,0.986,FALSE,No
Mean melEDI,Dortmund (DE),×0.92 [0.66–1.28],0.607,0.986,FALSE,No
Mean melEDI,Tübingen (DE),×1.46 [1.12–1.92],0.006,0.027,TRUE,Yes
Mean melEDI,Munich (DE),×1.00 [0.66–1.51],0.986,0.986,FALSE,No
Mean melEDI,Madrid (ES),×1.00 [0.72–1.39],0.985,0.986,FALSE,No
Mean melEDI,Izmir (TR),×1.41 [1.04–1.92],0.027,0.081,FALSE,No
Mean melEDI,San José (CR),×1.10 [0.68–1.77],0.709,0.986,FALSE,No
Mean melEDI,Kumasi (GH),×0.49 [0.35–0.68],<0.001,<0.001,TRUE,Yes
Brightest 10 h mean,Borås (SE),×1.46 [0.87–2.48],0.155,0.402,FALSE,No
Brightest 10 h mean,Delft (NL),×1.08 [0.65–1.78],0.767,0.985,FALSE,No
Brightest 10 h mean,Dortmund (DE),×0.97 [0.59–1.57],0.894,0.985,FALSE,No
Brightest 10 h mean,Tübingen (DE),×1.40 [0.94–2.10],0.098,0.402,FALSE,No
Brightest 10 h mean,Munich (DE),×0.70 [0.38–1.29],0.255,0.460,FALSE,No
Brightest 10 h mean,Madrid (ES),×1.39 [0.86–2.26],0.179,0.402,FALSE,No
Brightest 10 h mean,Izmir (TR),×1.19 [0.75–1.86],0.459,0.689,FALSE,No
Brightest 10 h mean,San José (CR),×0.99 [0.49–2.03],0.985,0.985,FALSE,No
Brightest 10 h mean,Kumasi (GH),×0.41 [0.25–0.66],<0.001,0.003,TRUE,Yes
Darkest 10 h mean,Borås (SE),×0.75 [0.56–1.00],0.052,0.093,FALSE,No
Darkest 10 h mean,Delft (NL),×0.88 [0.67–1.15],0.348,0.348,FALSE,No
Darkest 10 h mean,Dortmund (DE),×0.84 [0.65–1.10],0.218,0.245,FALSE,No
Darkest 10 h mean,Tübingen (DE),×1.36 [1.09–1.69],0.007,0.020,TRUE,Yes
Darkest 10 h mean,Munich (DE),×1.35 [0.96–1.89],0.083,0.125,FALSE,No
Darkest 10 h mean,Madrid (ES),×0.76 [0.58–0.99],0.043,0.093,FALSE,No
Darkest 10 h mean,Izmir (TR),×1.49 [1.16–1.91],0.002,0.016,TRUE,Yes
Darkest 10 h mean,San José (CR),×1.30 [0.88–1.93],0.186,0.239,FALSE,No
Darkest 10 h mean,Kumasi (GH),×0.67 [0.51–0.88],0.003,0.016,TRUE,Yes
Time above 250 lx melEDI during wake,Borås (SE),×1.24 [0.90–1.70],0.182,0.358,FALSE,No
Time above 250 lx melEDI during wake,Delft (NL),×1.20 [0.88–1.64],0.238,0.358,FALSE,No
Time above 250 lx melEDI during wake,Dortmund (DE),×0.98 [0.73–1.32],0.896,0.896,FALSE,No
Time above 250 lx melEDI during wake,Tübingen (DE),×1.12 [0.87–1.43],0.373,0.420,FALSE,No
Time above 250 lx melEDI during wake,Munich (DE),×0.73 [0.50–1.06],0.095,0.335,FALSE,No
Time above 250 lx melEDI during wake,Madrid (ES),×1.68 [1.24–2.26],<0.001,0.006,TRUE,Yes
Time above 250 lx melEDI during wake,Izmir (TR),×0.86 [0.65–1.14],0.289,0.372,FALSE,No
Time above 250 lx melEDI during wake,San José (CR),×0.75 [0.48–1.18],0.212,0.358,FALSE,No
Time above 250 lx melEDI during wake,Kumasi (GH),×0.78 [0.57–1.06],0.112,0.335,FALSE,No
Time below 10 lx melEDI before sleep,Borås (SE),0.45 [0.08–0.83] h,0.019,0.056,FALSE,No
Time below 10 lx melEDI before sleep,Delft (NL),0.30 [-0.09–0.69] h,0.132,0.237,FALSE,No
Time below 10 lx melEDI before sleep,Dortmund (DE),0.13 [-0.22–0.49] h,0.457,0.587,FALSE,No
