Category,Metric,Model R²,Fixed effects R²,Participant-associated,Not represented,Site part R²,Photoperiod part R²,Latitude part R²,row_type,site_supported,photoperiod_supported,latitude_supported
Grand average,Grand average,37.8%,14.7%,26.1%,62.2%,8.7% (10/7),5.9% (12/5),3.8% (7/10),Grand average,NA,NA,NA
Dynamics,Interdaily stability,15.4% [10.4–30.8],15.4% [10.4–30.8],Not estimable,84.6% [69.2–89.6],6.9% [4.1–20.4],0.4% [0.0–4.6],0.1% [0.0–3.5],Metric,FALSE,FALSE,FALSE
Dynamics,Intradaily variability,5.9% [4.6–21.2],5.9% [4.6–21.2],Not estimable,94.1% [78.8–95.4],5.1% [3.8–18.7],0.7% [0.0–5.7],2.1% [0.0–8.9],Metric,FALSE,FALSE,FALSE
Level,Mean melEDI,57.7% [51.9–65.1],25.4% [18.6–34.4],32.3% [24.5–39.4],42.3% [34.9–48.1],8.4% [4.8–16.6],7.7% [2.9–13.9],3.6% [0.8–8.2],Metric,TRUE,TRUE,TRUE
Level,Brightest 10 h mean,46.0% [39.6–54.3],17.6% [12.1–26.0],28.4% [20.9–35.4],54.0% [45.7–60.4],5.7% [3.3–12.7],5.8% [1.9–11.1],3.6% [0.8–8.1],Metric,TRUE,TRUE,TRUE
Level,Darkest 10 h mean,61.1% [55.3–68.1],22.0% [15.8–31.8],39.1% [30.4–46.2],38.9% [31.9–44.7],13.7% [9.2–23.9],3.4% [0.5–8.3],0.5% [0.0–3.2],Metric,TRUE,TRUE,FALSE
Duration,"Time above 1,000 lx melEDI",50.1% [40.2–57.6],21.5% [16.3–32.3],28.6% [17.7–34.2],49.9% [42.4–59.8],4.7% [2.6–12.1],9.0% [3.7–15.7],0.0% [-0.0–2.0],Metric,FALSE,TRUE,FALSE
Duration,Time above 250 lx melEDI during wake,50.1% [41.6–58.0],18.0% [12.9–29.1],32.1% [20.7–36.7],49.9% [42.0–58.4],8.6% [5.2–18.7],6.4% [2.0–12.7],3.1% [0.3–8.3],Metric,TRUE,TRUE,TRUE
Duration,Time below 10 lx melEDI before sleep,38.3% [31.8–48.5],7.6% [4.6–17.2],30.7% [21.7–38.1],61.7% [51.5–68.2],5.4% [3.2–13.4],4.9% [1.2–10.5],0.0% [0.0–1.7],Metric,TRUE,TRUE,FALSE
Duration,Time below 1 lx melEDI during sleep,40.9% [32.8–48.5],8.0% [5.1–18.2],32.9% [22.0–37.8],59.1% [51.5–67.2],5.4% [3.2–14.2],0.6% [0.0–3.8],0.0% [0.0–1.6],Metric,FALSE,FALSE,FALSE
Duration,Longest continuous period above 250 lx melEDI,36.3% [29.9–45.3],10.0% [6.1–17.9],26.3% [18.7–33.0],63.7% [54.7–70.1],2.2% [1.4–8.1],4.9% [1.3–9.6],0.8% [0.0–3.4],Metric,FALSE,TRUE,FALSE
Timing,Midpoint of the brightest 10 hours,22.9% [16.9–31.6],6.7% [4.6–13.0],16.2% [9.6–22.4],77.1% [68.4–83.1],6.5% [4.4–12.6],0.2% [0.0–1.8],1.9% [0.2–5.0],Metric,TRUE,FALSE,TRUE
Timing,Midpoint of the darkest 10 hours,28.2% [22.1–36.7],8.6% [5.9–15.8],19.6% [12.6–25.8],71.8% [63.3–77.9],4.6% [3.0–10.5],2.1% [0.3–5.6],0.9% [0.0–3.4],Metric,TRUE,TRUE,FALSE
Timing,Mean timing of exposure above 250 lx melEDI,25.7% [19.8–34.2],14.7% [10.7–21.9],11.0% [5.3–17.2],74.3% [65.8–80.2],12.7% [9.4–19.2],1.2% [0.1–3.6],6.0% [2.7–9.7],Metric,TRUE,TRUE,TRUE
Timing,First light timing above 250 lx melEDI,31.0% [24.6–40.5],6.8% [4.4–14.4],24.2% [16.2–31.5],69.0% [59.5–75.4],3.8% [2.3–10.2],0.5% [0.0–2.8],0.0% [-0.0–1.3],Metric,FALSE,FALSE,FALSE
Timing,Last light timing above 250 lx melEDI,37.9% [31.6–46.3],22.2% [17.0–30.2],15.8% [9.7–22.3],62.1% [53.7–68.4],11.6% [8.3–18.6],4.5% [1.5–8.5],5.7% [2.2–9.9],Metric,TRUE,TRUE,TRUE
Exposure history,melEDI dose,33.8% [26.7–42.8],11.8% [7.7–19.7],22.0% [14.5–28.7],66.2% [57.2–73.3],2.8% [1.7–8.6],7.5% [3.1–12.9],0.0% [-0.0–1.2],Metric,FALSE,TRUE,FALSE
Spectrum,Melanopic daylight efficacy ratio,60.5% [54.6–68.2],27.8% [21.3–38.1],32.7% [24.1–40.0],39.5% [31.8–45.4],9.6% [6.0–17.8],13.0% [6.7–20.6],2.7% [0.3–6.9],Metric,TRUE,TRUE,TRUE
