Scale,Metric,Predictor,Near-eye estimate (95% CI),Chest estimate (95% CI),Participants,Participant-days,Observations,Sites
Difference,Time below 10 lx melEDI before sleep,Photoperiod,-0.11 [-0.19–-0.04] h,-0.10 [-0.17–-0.03] h,110,505,505,8
Difference,Time below 10 lx melEDI before sleep,Latitude per 10°,-0.01 [-0.11–0.08] h,0.00 [-0.09–0.09] h,110,505,505,8
Difference,Midpoint of the brightest 10 hours,Photoperiod,0.03 [-0.07–0.14] h,0.04 [-0.07–0.15] h,112,643,643,8
Difference,Midpoint of the brightest 10 hours,Latitude per 10°,0.22 [0.08–0.35] h,0.24 [0.10–0.38] h,112,643,643,8
Difference,Midpoint of the darkest 10 hours,Photoperiod,-0.14 [-0.25–-0.04] h,-0.13 [-0.23–-0.02] h,112,643,643,8
Difference,Midpoint of the darkest 10 hours,Latitude per 10°,0.13 [0.00–0.26] h,0.22 [0.09–0.35] h,112,643,643,8
Difference,Mean timing of exposure above 250 lx melEDI,Photoperiod,0.10 [-0.00–0.20] h,0.13 [0.03–0.23] h,112,573,573,8
Difference,Mean timing of exposure above 250 lx melEDI,Latitude per 10°,0.38 [0.25–0.52] h,0.39 [0.25–0.52] h,112,573,573,8
Difference,First light timing above 250 lx melEDI,Photoperiod,-0.06 [-0.21–0.09] h,-0.07 [-0.23–0.09] h,112,563,563,8
Difference,First light timing above 250 lx melEDI,Latitude per 10°,0.01 [-0.19–0.20] h,0.07 [-0.13–0.28] h,112,563,563,8
Difference,Last light timing above 250 lx melEDI,Photoperiod,0.29 [0.14–0.44] h,0.32 [0.20–0.45] h,112,524,524,8
Difference,Last light timing above 250 lx melEDI,Latitude per 10°,0.59 [0.40–0.77] h,0.45 [0.29–0.60] h,112,524,524,8
Difference,Melanopic daylight efficacy ratio,Photoperiod,0.02 [0.01–0.03],0.03 [0.02–0.04],107,489,489,8
Difference,Melanopic daylight efficacy ratio,Latitude per 10°,-0.01 [-0.02–0.00],-0.01 [-0.02–-0.00],107,489,489,8
Ratio,Mean melEDI,Photoperiod,×1.16 [1.08–1.24],×1.16 [1.08–1.25],112,643,643,8
Ratio,Mean melEDI,Latitude per 10°,×1.14 [1.04–1.24],×1.07 [0.97–1.17],112,643,643,8
Ratio,Brightest 10 h mean,Photoperiod,×1.19 [1.08–1.32],×1.21 [1.09–1.35],112,643,643,8
Ratio,Brightest 10 h mean,Latitude per 10°,×1.26 [1.11–1.42],×1.20 [1.05–1.36],112,643,643,8
Ratio,Darkest 10 h mean,Photoperiod,×1.10 [1.04–1.16],×1.08 [1.02–1.15],112,643,643,8
Ratio,Darkest 10 h mean,Latitude per 10°,×1.00 [0.93–1.08],×0.93 [0.87–1.00],112,643,643,8
Ratio,"Time above 1,000 lx melEDI",Photoperiod,×1.16 [1.09–1.24],×1.17 [1.09–1.26],112,643,643,8
Ratio,"Time above 1,000 lx melEDI",Latitude per 10°,×1.04 [0.95–1.13],×0.99 [0.91–1.09],112,643,643,8
Ratio,Time above 250 lx melEDI during wake,Photoperiod,×1.10 [1.04–1.16],×1.12 [1.06–1.18],112,578,578,8
Ratio,Time above 250 lx melEDI during wake,Latitude per 10°,×1.15 [1.07–1.24],×1.12 [1.04–1.20],112,578,578,8
Ratio,Time below 1 lx melEDI during sleep,Photoperiod,×0.98 [0.96–1.01],×0.99 [0.97–1.01],112,608,608,8
Ratio,Time below 1 lx melEDI during sleep,Latitude per 10°,×1.01 [0.98–1.04],×1.02 [1.00–1.05],112,608,608,8
Ratio,Longest continuous period above 250 lx melEDI,Photoperiod,×1.09 [1.03–1.15],×1.09 [1.04–1.15],112,643,643,8
Ratio,Longest continuous period above 250 lx melEDI,Latitude per 10°,×1.09 [1.02–1.16],×1.03 [0.97–1.09],112,643,643,8
Ratio,melEDI dose,Photoperiod,×1.24 [1.13–1.35],×1.25 [1.14–1.38],112,598,598,8
Ratio,melEDI dose,Latitude per 10°,×1.05 [0.94–1.17],×0.98 [0.87–1.10],112,598,598,8
