Placement,Metric,Refits,Successful refits,Maximum |DFBETA|,Most influential participant,Term
Near eye,Interdaily stability,3,3,0.634,MPI::MPI_S201,site5
Near eye,Intradaily variability,3,3,0.568,TUM::TUM_S008,site8
Near eye,Mean melEDI,6,6,0.742,TUM::TUM_S005,site8
Near eye,Brightest 10 h mean,6,6,0.842,KNUST::KNUST_S005,site4
Near eye,Darkest 10 h mean,6,6,0.757,IZTECH::IZTECH_S013,site3
Near eye,"Time above 1,000 lx melEDI",6,6,0.486,BAUA::BAUA_S011,site1
Near eye,Time above 250 lx melEDI during wake,6,6,0.592,MPI::MPI_S206,site5
Near eye,Time below 10 lx melEDI before sleep,6,6,0.661,KNUST::KNUST_S012,site4
Near eye,Time below 1 lx melEDI during sleep,6,6,0.932,KNUST::KNUST_S008,site4
Near eye,Longest continuous period above 250 lx melEDI,6,6,0.596,MPI::MPI_S206,site5
Near eye,Midpoint of the brightest 10 hours,6,6,0.870,TUM::TUM_S007,site8
Near eye,Midpoint of the darkest 10 hours,6,6,1.116,TUM::TUM_S007,site8
Near eye,Mean timing of exposure above 250 lx melEDI,5,5,0.986,TUM::TUM_S005,site8
Near eye,First light timing above 250 lx melEDI,6,6,0.717,IZTECH::IZTECH_S015,site3
Near eye,Last light timing above 250 lx melEDI,5,5,0.594,BAUA::BAUA_S024,site1
Near eye,melEDI dose,5,5,0.878,THUAS::THUAS_S001,site7
Near eye,Melanopic daylight efficacy ratio,5,5,1.054,RISE::RISE_S001,site6
Chest,Interdaily stability,3,3,0.779,TUM::TUM_S003,site7
Chest,Intradaily variability,3,3,0.469,IZTECH::IZTECH_S001,site3
Chest,Mean melEDI,6,6,0.920,TUM::TUM_S005,site7
Chest,Brightest 10 h mean,6,6,0.746,KNUST::KNUST_S005,site4
Chest,Darkest 10 h mean,6,6,0.820,IZTECH::IZTECH_S013,site3
Chest,"Time above 1,000 lx melEDI",6,6,0.786,TUM::TUM_S009,site7
Chest,Time above 250 lx melEDI during wake,6,6,0.511,BAUA::BAUA_S008,site1
Chest,Time below 10 lx melEDI before sleep,6,6,0.435,IZTECH::IZTECH_S001,site3
Chest,Time below 1 lx melEDI during sleep,6,6,0.784,TUM::TUM_S005,site7
Chest,Longest continuous period above 250 lx melEDI,6,6,0.745,TUM::TUM_S009,site7
Chest,Midpoint of the brightest 10 hours,6,6,0.968,TUM::TUM_S007,site7
Chest,Midpoint of the darkest 10 hours,5,5,1.163,TUM::TUM_S007,site7
Chest,Mean timing of exposure above 250 lx melEDI,6,6,1.014,TUM::TUM_S007,site7
Chest,First light timing above 250 lx melEDI,6,6,1.057,TUM::TUM_S007,site7
Chest,Last light timing above 250 lx melEDI,6,6,0.778,TUM::TUM_S003,site7
Chest,melEDI dose,5,5,0.603,IZTECH::IZTECH_S001,site3
Chest,Melanopic daylight efficacy ratio,6,6,2.622,KNUST::KNUST_S007,site4
