Category,Metric,Photoperiod effect (95% CI),Photoperiod raw p,Photoperiod FDR-adjusted p,photoperiod_bold,Latitude effect per 10° (95% CI),Latitude raw p,Latitude FDR-adjusted p,latitude_bold,Participants,Participant-days,Observations,Sites
Dynamics,Interdaily stability,×0.98 [0.94–1.02],0.418,0.401,FALSE,×1.01 [0.96–1.06],0.715,0.903,FALSE,141,816,141,9
Dynamics,Intradaily variability,-0.02 [-0.06–0.02],0.325,0.327,FALSE,-0.04 [-0.08–0.01],0.084,0.139,FALSE,141,816,141,9
Level,Mean melEDI,×1.18 [1.11–1.26],<0.001,<0.001,TRUE,×1.15 [1.07–1.25],<0.001,0.002,TRUE,141,816,816,9
Level,Brightest 10 h mean,×1.24 [1.13–1.36],<0.001,<0.001,TRUE,×1.24 [1.11–1.39],<0.001,0.001,TRUE,141,816,816,9
Level,Darkest 10 h mean,×1.09 [1.03–1.14],0.001,0.002,TRUE,×1.04 [0.97–1.11],0.263,0.400,FALSE,141,816,816,9
Duration,"Time above 1,000 lx melEDI",×1.21 [1.13–1.29],<0.001,<0.001,TRUE,×1.03 [0.94–1.12],0.542,0.769,FALSE,141,816,816,9
Duration,Time above 250 lx melEDI during wake,×1.14 [1.07–1.20],<0.001,<0.001,TRUE,×1.12 [1.04–1.20],0.004,0.013,TRUE,141,737,737,9
Duration,Time below 10 lx melEDI before sleep,-0.13 [-0.20–-0.07] h,<0.001,<0.001,TRUE,0.00 [-0.09–0.09] h,0.963,0.962,FALSE,139,655,655,9
Duration,Time below 1 lx melEDI during sleep,×0.99 [0.97–1.01],0.173,0.227,FALSE,×1.00 [0.97–1.02],0.850,0.903,FALSE,141,778,778,9
Duration,Longest continuous period above 250 lx melEDI,×1.12 [1.07–1.19],<0.001,<0.001,TRUE,×1.06 [0.99–1.13],0.083,0.139,FALSE,141,816,816,9
Timing,Midpoint of the brightest 10 hours,0.05 [-0.05–0.15] h,0.286,0.305,FALSE,0.19 [0.06–0.32] h,0.004,0.013,TRUE,141,816,816,9
Timing,Midpoint of the darkest 10 hours,-0.15 [-0.25–-0.05] h,0.003,0.004,TRUE,0.12 [-0.00–0.24] h,0.055,0.114,FALSE,141,816,816,9
Timing,Mean timing of exposure above 250 lx melEDI,0.12 [0.03–0.21] h,0.010,0.013,TRUE,0.33 [0.21–0.46] h,<0.001,<0.001,TRUE,141,742,742,9
Timing,First light timing above 250 lx melEDI,-0.10 [-0.25–0.05] h,0.206,0.227,FALSE,0.02 [-0.17–0.21] h,0.835,0.903,FALSE,140,727,727,9
Timing,Last light timing above 250 lx melEDI,0.32 [0.19–0.46] h,<0.001,<0.001,TRUE,0.46 [0.27–0.64] h,<0.001,<0.001,TRUE,141,687,687,9
Exposure history,melEDI dose,×1.28 [1.17–1.39],<0.001,<0.001,TRUE,×1.02 [0.91–1.13],0.773,0.903,FALSE,141,761,761,9
Spectrum,Melanopic daylight efficacy ratio,0.02 [0.02–0.03],<0.001,<0.001,TRUE,-0.01 [-0.02–-0.00],0.005,0.013,TRUE,137,702,702,9
