Category,Metric,Overall site FDR-adjusted p,site_bold,Photoperiod association (95% CI),Photoperiod FDR-adjusted p,photoperiod_bold,Latitude association per 10° (95% CI),Latitude FDR-adjusted p,latitude_bold,Site-versus-latitude FDR-adjusted p,adequacy_bold,Exact fitted sample
Dynamics,Interdaily stability,0.228,FALSE,×0.98 [0.94–1.02],0.401,FALSE,×1.01 [0.96–1.06],0.903,FALSE,0.175,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Dynamics,Intradaily variability,0.483,FALSE,-0.02 [-0.06–0.02],0.327,FALSE,-0.04 [-0.08–0.01],0.139,FALSE,0.723,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Level,Mean melEDI,<0.001,TRUE,×1.18 [1.11–1.26],<0.001,TRUE,×1.15 [1.07–1.25],0.002,TRUE,0.032,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Level,Brightest 10 h mean,0.011,TRUE,×1.24 [1.13–1.36],<0.001,TRUE,×1.24 [1.11–1.39],0.001,TRUE,0.325,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Level,Darkest 10 h mean,<0.001,TRUE,×1.09 [1.03–1.14],0.002,TRUE,×1.04 [0.97–1.11],0.400,FALSE,<0.001,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Duration,"Time above 1,000 lx melEDI",0.071,FALSE,×1.21 [1.13–1.29],<0.001,TRUE,×1.03 [0.94–1.12],0.769,FALSE,0.053,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Duration,Time above 250 lx melEDI during wake,0.007,TRUE,×1.14 [1.07–1.20],<0.001,TRUE,×1.12 [1.04–1.20],0.013,TRUE,0.053,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 737
Duration,Time below 10 lx melEDI before sleep,0.049,TRUE,-0.13 [-0.20–-0.07] h,<0.001,TRUE,0.00 [-0.09–0.09] h,0.962,FALSE,0.040,TRUE,<em>n</em><sub>participants</sub> = 139; <em>n</em><sub>participant-days</sub> = 655
Duration,Time below 1 lx melEDI during sleep,0.058,FALSE,×0.99 [0.97–1.01],0.227,FALSE,×1.00 [0.97–1.02],0.903,FALSE,0.043,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 778
Duration,Longest continuous period above 250 lx melEDI,0.398,FALSE,×1.12 [1.07–1.19],<0.001,TRUE,×1.06 [0.99–1.13],0.139,FALSE,0.626,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Timing,Midpoint of the brightest 10 hours,<0.001,TRUE,0.05 [-0.05–0.15] h,0.305,FALSE,0.19 [0.06–0.32] h,0.013,TRUE,0.010,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Timing,Midpoint of the darkest 10 hours,0.020,TRUE,-0.15 [-0.25–-0.05] h,0.004,TRUE,0.12 [-0.00–0.24] h,0.114,FALSE,0.043,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 816
Timing,Mean timing of exposure above 250 lx melEDI,<0.001,TRUE,0.12 [0.03–0.21] h,0.013,TRUE,0.33 [0.21–0.46] h,<0.001,TRUE,<0.001,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 742
Timing,First light timing above 250 lx melEDI,0.112,FALSE,-0.10 [-0.25–0.05] h,0.227,FALSE,0.02 [-0.17–0.21] h,0.903,FALSE,0.077,FALSE,<em>n</em><sub>participants</sub> = 140; <em>n</em><sub>participant-days</sub> = 727
Timing,Last light timing above 250 lx melEDI,<0.001,TRUE,0.32 [0.19–0.46] h,<0.001,TRUE,0.46 [0.27–0.64] h,<0.001,TRUE,<0.001,TRUE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 687
Exposure history,melEDI dose,0.209,FALSE,×1.28 [1.17–1.39],<0.001,TRUE,×1.02 [0.91–1.13],0.903,FALSE,0.156,FALSE,<em>n</em><sub>participants</sub> = 141; <em>n</em><sub>participant-days</sub> = 761
Spectrum,Melanopic daylight efficacy ratio,<0.001,TRUE,0.02 [0.02–0.03],<0.001,TRUE,-0.01 [-0.02–-0.00],0.013,TRUE,0.010,TRUE,<em>n</em><sub>participants</sub> = 137; <em>n</em><sub>participant-days</sub> = 702
