Placement,Metric,Assessment,Residual check,Prediction-bound check
Near eye,Interdaily stability,Acceptable,No flagged residual issue,Prediction bounds passed
Near eye,Intradaily variability,Acceptable,No flagged residual issue,No verified upper bound available
Near eye,Mean melEDI,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Near eye,Brightest 10 h mean,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Near eye,Darkest 10 h mean,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Near eye,"Time above 1,000 lx melEDI",Acceptable,No flagged residual issue,Prediction bounds passed
Near eye,Time above 250 lx melEDI during wake,Acceptable with limitations,Tweedie simulation-diagnostic warning,Prediction bounds passed
Near eye,Time below 10 lx melEDI before sleep,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,Time below 1 lx melEDI during sleep,Acceptable with limitations,Strong Tweedie simulation-diagnostic warning,Predicted values crossed a physical bound
Near eye,Longest continuous period above 250 lx melEDI,Acceptable,No flagged residual issue,Prediction bounds passed
Near eye,Midpoint of the brightest 10 hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,Midpoint of the darkest 10 hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,Mean timing of exposure above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,First light timing above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,Last light timing above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Near eye,melEDI dose,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Near eye,Melanopic daylight efficacy ratio,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Chest,Interdaily stability,Acceptable,No flagged residual issue,Prediction bounds passed
Chest,Intradaily variability,Acceptable,No flagged residual issue,No verified upper bound available
Chest,Mean melEDI,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Chest,Brightest 10 h mean,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Chest,Darkest 10 h mean,Acceptable with limitations,Strong Gaussian residual-shape warning,No verified upper bound available
Chest,"Time above 1,000 lx melEDI",Acceptable,No flagged residual issue,Prediction bounds passed
Chest,Time above 250 lx melEDI during wake,Acceptable,No flagged residual issue,Prediction bounds passed
Chest,Time below 10 lx melEDI before sleep,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,Time below 1 lx melEDI during sleep,Acceptable with limitations,Strong Tweedie simulation-diagnostic warning,Predicted values crossed a physical bound
Chest,Longest continuous period above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,Midpoint of the brightest 10 hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,Midpoint of the darkest 10 hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,Mean timing of exposure above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,First light timing above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,Last light timing above 250 lx melEDI,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
Chest,melEDI dose,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
Chest,Melanopic daylight efficacy ratio,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
