metric_order,Metric,Borås (SE),Delft (NL),Dortmund (DE),Tübingen (DE),Munich (DE),Madrid (ES),Izmir (TR),San José (CR),Kumasi (GH)
3,Mean melEDI,×1.03 [0.72–1.47],×0.96 [0.68–1.34],×0.92 [0.66–1.28],**×1.46 [1.12–1.92]**,×1.00 [0.66–1.51],×1.00 [0.72–1.39],×1.41 [1.04–1.92],×1.10 [0.68–1.77],**×0.49 [0.35–0.68]**
4,Brightest 10 h mean,×1.46 [0.87–2.48],×1.08 [0.65–1.78],×0.97 [0.59–1.57],×1.40 [0.94–2.10],×0.70 [0.38–1.29],×1.39 [0.86–2.26],×1.19 [0.75–1.86],×0.99 [0.49–2.03],**×0.41 [0.25–0.66]**
5,Darkest 10 h mean,×0.75 [0.56–1.00],×0.88 [0.67–1.15],×0.84 [0.65–1.10],**×1.36 [1.09–1.69]**,×1.35 [0.96–1.89],×0.76 [0.58–0.99],**×1.49 [1.16–1.91]**,×1.30 [0.88–1.93],**×0.67 [0.51–0.88]**
7,Time above 250 lx melEDI during wake,×1.24 [0.90–1.70],×1.20 [0.88–1.64],×0.98 [0.73–1.32],×1.12 [0.87–1.43],×0.73 [0.50–1.06],**×1.68 [1.24–2.26]**,×0.86 [0.65–1.14],×0.75 [0.48–1.18],×0.78 [0.57–1.06]
8,Time below 10 lx melEDI before sleep,0.45 [0.08–0.83] h,0.30 [-0.09–0.69] h,0.13 [-0.22–0.49] h,-0.23 [-0.51–0.06] h,0.27 [-0.17–0.71] h,**-0.47 [-0.82–-0.12] h**,**-0.45 [-0.78–-0.12] h**,-0.10 [-0.62–0.42] h,0.09 [-0.29–0.46] h
11,Midpoint of the brightest 10 hours,-0.58 [-1.15–-0.02] h,0.38 [-0.16–0.91] h,0.04 [-0.48–0.57] h,0.13 [-0.30–0.56] h,0.48 [-0.17–1.14] h,0.51 [-0.01–1.03] h,**0.66 [0.17–1.14] h**,-0.84 [-1.61–-0.07] h,**-0.78 [-1.31–-0.24] h**
12,Midpoint of the darkest 10 hours,-0.55 [-1.11–0.00] h,0.31 [-0.21–0.84] h,0.12 [-0.40–0.63] h,0.10 [-0.33–0.52] h,0.79 [0.15–1.44] h,0.12 [-0.39–0.63] h,0.35 [-0.12–0.83] h,-0.80 [-1.55–-0.04] h,-0.45 [-0.97–0.07] h
13,Mean timing of exposure above 250 lx melEDI,-0.29 [-0.81–0.23] h,0.47 [-0.02–0.96] h,0.21 [-0.28–0.70] h,0.25 [-0.15–0.65] h,0.52 [-0.08–1.13] h,**0.79 [0.31–1.27] h**,**0.90 [0.45–1.34] h**,**-1.84 [-2.54–-1.14] h**,**-1.00 [-1.50–-0.50] h**
15,Last light timing above 250 lx melEDI,0.18 [-0.58–0.94] h,0.38 [-0.37–1.13] h,0.23 [-0.49–0.96] h,-0.14 [-0.75–0.46] h,0.71 [-0.18–1.61] h,**1.32 [0.60–2.04] h**,**0.89 [0.23–1.55] h**,**-1.91 [-2.96–-0.86] h**,**-1.67 [-2.41–-0.93] h**
17,Melanopic daylight efficacy ratio,0.02 [-0.02–0.06],-0.01 [-0.05–0.03],-0.02 [-0.06–0.01],-0.02 [-0.05–0.01],**-0.08 [-0.13–-0.04]**,0.02 [-0.02–0.05],0.03 [-0.01–0.06],-0.01 [-0.06–0.05],**0.08 [0.04–0.13]**
