Metric,Site,Difference or ratio (95% CI),Raw p,Within-metric FDR-adjusted p,adjusted_bold,Supported
Mean melEDI,Borås (SE),×1.10 [0.82–1.49],0.526,0.682,FALSE,No
Mean melEDI,Delft (NL),×1.15 [0.85–1.55],0.375,0.599,FALSE,No
Mean melEDI,Dortmund (DE),×0.75 [0.56–1.01],0.060,0.119,FALSE,No
Mean melEDI,Munich (DE),×0.92 [0.62–1.37],0.682,0.682,FALSE,No
Mean melEDI,Madrid (ES),×0.92 [0.67–1.27],0.614,0.682,FALSE,No
Mean melEDI,Izmir (TR),×1.39 [1.03–1.86],0.029,0.078,FALSE,No
Mean melEDI,San José (CR),×1.39 [1.12–1.72],0.002,0.020,TRUE,Yes
Mean melEDI,Kumasi (GH),×0.65 [0.47–0.89],0.007,0.029,TRUE,Yes
Brightest 10 h mean,Borås (SE),×1.66 [1.07–2.58],0.025,0.099,FALSE,No
Brightest 10 h mean,Delft (NL),×1.40 [0.90–2.17],0.138,0.275,FALSE,No
Brightest 10 h mean,Dortmund (DE),×0.81 [0.52–1.25],0.337,0.449,FALSE,No
Brightest 10 h mean,Munich (DE),×0.68 [0.38–1.23],0.202,0.323,FALSE,No
Brightest 10 h mean,Madrid (ES),×1.12 [0.70–1.79],0.629,0.711,FALSE,No
Brightest 10 h mean,Izmir (TR),×1.08 [0.71–1.67],0.711,0.711,FALSE,No
Brightest 10 h mean,San José (CR),×1.35 [0.99–1.85],0.057,0.151,FALSE,No
Brightest 10 h mean,Kumasi (GH),×0.48 [0.30–0.76],0.002,0.015,TRUE,Yes
Darkest 10 h mean,Borås (SE),×0.77 [0.60–0.97],0.030,0.059,FALSE,No
Darkest 10 h mean,Delft (NL),×0.94 [0.74–1.19],0.606,0.692,FALSE,No
Darkest 10 h mean,Dortmund (DE),×0.72 [0.57–0.92],0.007,0.020,TRUE,Yes
Darkest 10 h mean,Munich (DE),×1.13 [0.82–1.56],0.447,0.596,FALSE,No
Darkest 10 h mean,Madrid (ES),×0.83 [0.64–1.07],0.144,0.231,FALSE,No
Darkest 10 h mean,Izmir (TR),×1.57 [1.24–1.98],<0.001,0.001,TRUE,Yes
Darkest 10 h mean,San José (CR),×1.32 [1.12–1.57],0.001,0.005,TRUE,Yes
Darkest 10 h mean,Kumasi (GH),×0.99 [0.77–1.27],0.930,0.930,FALSE,No
"Time above 1,000 lx melEDI",Borås (SE),×1.17 [0.86–1.59],0.309,0.412,FALSE,No
"Time above 1,000 lx melEDI",Delft (NL),×1.25 [0.93–1.70],0.141,0.226,FALSE,No
"Time above 1,000 lx melEDI",Dortmund (DE),×1.01 [0.75–1.37],0.934,0.934,FALSE,No
"Time above 1,000 lx melEDI",Munich (DE),×0.59 [0.39–0.89],0.012,0.048,TRUE,Yes
"Time above 1,000 lx melEDI",Madrid (ES),×0.86 [0.61–1.20],0.367,0.419,FALSE,No
"Time above 1,000 lx melEDI",Izmir (TR),×0.73 [0.54–1.00],0.050,0.133,FALSE,No
"Time above 1,000 lx melEDI",San José (CR),×1.37 [1.11–1.71],0.004,0.034,TRUE,Yes
"Time above 1,000 lx melEDI",Kumasi (GH),×1.32 [0.95–1.84],0.092,0.185,FALSE,No
Time above 250 lx melEDI during wake,Borås (SE),×1.09 [0.85–1.40],0.485,0.555,FALSE,No
Time above 250 lx melEDI during wake,Delft (NL),×1.28 [1.00–1.64],0.048,0.097,FALSE,No
Time above 250 lx melEDI during wake,Dortmund (DE),×0.97 [0.76–1.24],0.821,0.821,FALSE,No
Time above 250 lx melEDI during wake,Munich (DE),×0.74 [0.54–1.03],0.075,0.099,FALSE,No
