Scenario,Question,Planned tests,Supported metrics,Not estimable,Status
Near eye: all available,Overall site,17,10,0,Complete
Near eye: all available,Photoperiod,17,12,0,Complete
Near eye: all available,Latitude,17,7,0,Complete
Near eye: all available,Site versus linear latitude,17,9,0,Complete
Chest: all available,Overall site,17,13,0,Complete
Chest: all available,Photoperiod,17,11,0,Complete
Chest: all available,Latitude,17,9,0,Complete
Chest: all available,Site versus linear latitude,17,11,0,Complete
Near eye: matched sample,Overall site,17,11,2,Complete
Near eye: matched sample,Photoperiod,17,11,2,Complete
Near eye: matched sample,Latitude,17,7,2,Complete
Near eye: matched sample,Site versus linear latitude,17,8,2,Complete
Chest: matched sample,Overall site,17,10,2,Complete
Chest: matched sample,Photoperiod,17,12,2,Complete
Chest: matched sample,Latitude,17,7,2,Complete
Chest: matched sample,Site versus linear latitude,17,10,2,Complete
"Gap-timing-unaware dataset: near eye, all available",Overall site,17,10,0,Complete
"Gap-timing-unaware dataset: near eye, all available",Photoperiod,17,12,0,Complete
"Gap-timing-unaware dataset: near eye, all available",Latitude,17,8,0,Complete
"Gap-timing-unaware dataset: near eye, all available",Site versus linear latitude,17,9,0,Complete
"Gap-timing-unaware dataset: chest, all available",Overall site,17,13,0,Complete
"Gap-timing-unaware dataset: chest, all available",Photoperiod,17,11,0,Complete
"Gap-timing-unaware dataset: chest, all available",Latitude,17,9,0,Complete
"Gap-timing-unaware dataset: chest, all available",Site versus linear latitude,17,10,0,Complete
"Gap-timing-unaware dataset: near eye, matched sample",Overall site,17,10,2,Complete
"Gap-timing-unaware dataset: near eye, matched sample",Photoperiod,17,12,2,Complete
"Gap-timing-unaware dataset: near eye, matched sample",Latitude,17,8,2,Complete
"Gap-timing-unaware dataset: near eye, matched sample",Site versus linear latitude,17,9,2,Complete
"Gap-timing-unaware dataset: chest, matched sample",Overall site,17,8,2,Complete
"Gap-timing-unaware dataset: chest, matched sample",Photoperiod,17,12,2,Complete
"Gap-timing-unaware dataset: chest, matched sample",Latitude,17,8,2,Complete
"Gap-timing-unaware dataset: chest, matched sample",Site versus linear latitude,17,10,2,Complete
