metric_id,family_label,analysis_unit_label
interdaily_stability,Gaussian after logit transformation,Participant
intradaily_variability,Gaussian on the identity scale,Participant
daily_geometric_mean_medi,Gaussian after log10(value + 0.1),Participant-day
m10_mean_medi,Gaussian after log10(value + 0.1),Participant-day
l10_mean_medi,Gaussian after log10(value + 0.1),Participant-day
duration_above_1000,Tweedie with log link,Participant-day
duration_above_250_wake,Tweedie with log link,Participant-day
duration_below_10_pre_sleep,Gaussian on the identity scale,Participant-day
duration_below_1_sleep_environment,Tweedie with log link,Participant-day
longest_bout_above_250,Gaussian after log10(value + 0.1),Participant-day
m10_midpoint,Gaussian on the linear clock scale,Participant-day
l10_midpoint,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day
mean_timing_above_250,Gaussian on the linear clock scale,Participant-day
first_timing_above_250,Gaussian on the linear clock scale,Participant-day
last_timing_above_250,Gaussian on the linear clock scale,Participant-day
dose_time_sensitive_corrected_medi,Gaussian after log10(value + 0.1),Participant-day
mder_mean_of_viable_ratios,Gaussian on the identity scale,Participant-day
