"sample_id","family","analysis_state","state_display","site","site_display","day_type","day_type_display","contrast","estimate","standard_error","conf_low","conf_high","statistic","p_value","p_adjusted"
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.0862597323538945,0.0323941912575752,0.0227682841807448,0.149751180527044,2.66281481355776,0.00774900467159204,0.0321881732512285
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.0394484807371373,0.0325730484007434,-0.0243935209949997,0.103290482469274,1.21107733767519,0.225865765952033,0.3947056996456
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",0.021851374311654,0.0280789880269907,-0.033182430943579,0.0768851795668871,0.778210891740458,0.436444696864109,0.63091831050219
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",-0.0259717868626177,0.0214786857716928,-0.0680692374103885,0.0161256636851532,-1.2091888274117,0.226590309055807,0.3947056996456
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",0.0461887443502065,0.0371353138963244,-0.0265951334411791,0.118972622141592,1.24379571636739,0.213574757353902,0.3947056996456
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",0.0395543749310086,0.025893789240784,-0.0111965194041989,0.090305269266216,1.52756224912453,0.126621260704839,0.261709628773654
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0738202001425322,0.0221322899525365,-0.117198691344901,-0.030441708940163,-3.33540723986729,0.000851745646709697,0.00418129681112033
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.0774318434329997,0.0333001773024427,-0.142698991624585,-0.0121646952414139,-2.32526820292094,0.0200576234210622,0.067694479046085
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",-0.0560788762457513,0.0265358505135103,-0.10808818755137,-0.00406956494013238,-2.11332499846574,0.0345729605067247,0.0936627242200037
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",0.0855493860874199,0.0350640694186445,0.0168250728754644,0.154273699299375,2.43980198265097,0.0146953145900901,0.0529031325243244
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",0.0690515840567784,0.0398948575243615,-0.00914089985932691,0.147244067972884,1.73083921943104,0.083480444689893,0.19650067903906
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",0.170174362100727,0.0368211448137777,0.0980062443961888,0.242342479805265,4.62164777769352,3.80703994273e-06,2.56975196134275e-05
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",-0.0442649998681711,0.0208570315486712,-0.0851440305279822,-0.00338596920835992,-2.12230584035297,0.0338120633605941,0.0936627242200037
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.0224134886325426,0.029554749352896,-0.0803397329363272,0.035512755671242,-0.758371805658584,0.448228431573006,0.63091831050219
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",-0.0522554778213921,0.0247426480050722,-0.100750176793485,-0.00376077884929867,-2.11195979551904,0.0346898978592606,0.0936627242200037
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.0435792666718347,0.0272240946465589,-0.0969375116907998,0.00977897834713037,-1.6007609155643,0.109429883350407,0.236368548036879
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",-0.0441449038628993,0.0487544644968543,-0.13970189836227,0.0514120906364717,-0.905453568580322,0.365225147446691,0.597641150367312
"primary_any_valid","BA-M5","Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",-0.118117195388085,0.0203003844510761,-0.157905217784511,-0.0783291729916595,-5.81847086062572,5.93884100259846e-09,5.34495690233862e-08
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.0687387994590674,0.0408710617915535,-0.0113670096622885,0.148844608580423,1.68184520895597,0.0925988595870535,0.20834743407087
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.0285264694157018,0.0534772800068431,-0.0762870733888746,0.133340012220278,0.533431569669428,0.593734868855761,0.745620532981653
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",-0.0352424496963039,0.0399985397027753,-0.113638146947939,0.043153247555331,-0.881093408864091,0.378267264414503,0.600728718277709
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",-0.00602715989978717,0.0341832400709546,-0.0730250793137445,0.0609707595141702,-0.176319151937514,0.860043216667761,0.947802728572635
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",-0.0384537626234145,0.0520184604926695,-0.140408071720266,0.0635005464734373,-0.739233000346742,0.459765525335317,0.63091831050219
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","FUSPCEU","Madrid (ES)","Work day","Work day","Site minus equal-site mean",-0.0101892251104086,0.0424228185576931,-0.0933364216061644,0.0729579713853472,-0.240182653034986,0.810188661006435,0.930855057326542
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","IZTECH","Izmir (TR)","Work day","Work day","Site minus equal-site mean",-0.0663804955497414,0.0383782296187535,-0.141600443392907,0.00883945229342385,-1.7296393348302,0.0836947336647848,0.19650067903906
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","UCR","San José (CR)","Work day","Work day","Site minus equal-site mean",-0.0501208182428908,0.0650521040063165,-0.177620599213825,0.0773789627280432,-0.770471901078313,0.441020016777751,0.63091831050219
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","KNUST","Kumasi (GH)","Work day","Work day","Site minus equal-site mean",0.109148642247777,0.051078270343161,0.00903707198258127,0.209260212512973,2.13688994389356,0.032606944113029,0.0936627242200037
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","RISE","Borås (SE)","Free day","Free day","Site minus equal-site mean",0.00405275510957708,0.048199228077728,-0.0904159960054015,0.0985215062245557,0.084083402809718,0.932990120547963,0.997378508776002
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","THUAS","Delft (NL)","Free day","Free day","Site minus equal-site mean",0.0497344274443528,0.0531891923247655,-0.0545144738789617,0.153983328767667,0.93504761532534,0.349763761288519,0.590226347174376
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)","Free day","Free day","Site minus equal-site mean",-0.0101479184896674,0.0488003513086631,-0.105794849487549,0.0854990125082143,-0.207947652374092,0.835269841129218,0.939678571270371
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","MPI","Tübingen (DE)","Free day","Free day","Site minus equal-site mean",-0.0579848665601337,0.038381774990163,-0.133211763203573,0.0172420300833059,-1.51073957822417,0.130854814386827,0.261709628773654
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","TUM","Munich (DE)","Free day","Free day","Site minus equal-site mean",-0.0839499407456814,0.0594619004099384,-0.200493124001468,0.0325932425101053,-1.41182740825502,0.158000786135904,0.304715801833529
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","FUSPCEU","Madrid (ES)","Free day","Free day","Site minus equal-site mean",0.00197061971666294,0.04543103122082,-0.087072565256659,0.0910138046899849,0.04337607277908,0.965401750901586,0.997378508776002
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","IZTECH","Izmir (TR)","Free day","Free day","Site minus equal-site mean",-0.106208325598439,0.0527702988862005,-0.209636210868806,-0.00278044032807206,-2.01265347819003,0.0441510967531598,0.113531391650982
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","UCR","San José (CR)","Free day","Free day","Site minus equal-site mean",0.0473786025805024,0.0765600021083265,-0.102676244208128,0.197433449369133,0.618842754385839,0.536019953549221,0.705977499796535
"primary_any_valid","BA-M5","Pre-sleep","Pre-sleep","KNUST","Kumasi (GH)","Free day","Free day","Site minus equal-site mean",0.155154646542826,0.0333217602011637,0.0898451966470653,0.220464096438587,4.65625602027494,3.22011467223852e-06,2.48408846144114e-05
"primary_any_valid","BA-M5","Sleep environment","Sleep","RISE","Borås (SE)","Work day","Work day","Site minus equal-site mean",0.057438407035158,0.00978392320975817,0.0382622699165265,0.0766145441537895,5.8706927480656,4.33977900993589e-09,4.68696133073077e-08
"primary_any_valid","BA-M5","Sleep environment","Sleep","THUAS","Delft (NL)","Work day","Work day","Site minus equal-site mean",0.000179425136565173,0.0173402343022361,-0.0338068095793036,0.034165659852434,0.0103473305745376,0.991744172010782,0.997378508776002
"primary_any_valid","BA-M5","Sleep environment","Sleep","BAUA","Dortmund (DE)","Work day","Work day","Site minus equal-site mean",0.00059122389429507,0.0162383584900976,-0.0312353739143463,0.0324178217029365,0.0364090923756616,0.970956164320298,0.997378508776002
"primary_any_valid","BA-M5","Sleep environment","Sleep","MPI","Tübingen (DE)","Work day","Work day","Site minus equal-site mean",0.00552709116708323,0.0129352850486083,-0.0198256016579484,0.0308797839921149,0.427287929590535,0.669169623353611,0.803003548024333
"primary_any_valid","BA-M5","Sleep environment","Sleep","TUM","Munich (DE)","Work day","Work day","Site minus equal-site mean",-0.138472762918867,0.0347711130008353,-0.206622892102876,-0.0703226337348571,-3.982408124685,6.8220500070879e-05,0.000409323000425274
