"member_id","analysis_state","state_display","site","site_display","state_order","site_order","family","sample_id_primary","estimate_primary","standard_error_primary","conf_low_primary","conf_high_primary","from_M4_minus_M1_primary","from_free_M5_minus_work_M5_primary","state_sum_primary","reconciliation_passed_primary","statistic","p_value","p_adjusted","fdr_significant","sample_id_80","estimate_80","standard_error_80","conf_low_80","conf_high_80","from_M4_minus_M1_80","from_free_M5_minus_work_M5_80","state_sum_80","reconciliation_passed_80","direction_retained","interval_exclusion_retained","fully_estimable","significant_direction_changed","sensitivity_qualification_required"
"BA-M6-01","Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)",1,1,"BA-M6","primary_any_valid",-0.000710346266474552,0.0410974904936424,-0.0812599474889909,0.0798392549560418,-0.000710346266474544,-0.000710346266474538,0,TRUE,-0.0172844195093722,0.986209715178377,0.986209715178377,FALSE,"support_80",-0.000469651651225091,0.0427177438244756,-0.0841948910480056,0.0832555877455555,-0.000469651651225041,-0.000469651651225089,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-02","Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)",1,2,"BA-M6","primary_any_valid",0.0296031033196411,0.0448856714926736,-0.0583711962278953,0.117577402867177,0.0296031033196411,0.0296031033196411,0,TRUE,0.659522344997624,0.509560402054258,0.690616683994313,FALSE,"support_80",0.0295640158388975,0.0477697688242445,-0.064063010606426,0.123191042284221,0.0295640158388976,0.0295640158388975,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-03","Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)",1,3,"BA-M6","primary_any_valid",0.148322987789073,0.0412516561706008,0.0674712273920658,0.22917474818608,0.148322987789073,0.148322987789073,0,TRUE,3.59556443444759,0.000323688995495099,0.00436980143918384,TRUE,"support_80",0.143735195714299,0.0425911969439138,0.0602579836457758,0.227212407782823,0.143735195714299,0.143735195714299,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-04","Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)",1,4,"BA-M6","primary_any_valid",-0.0182932130055534,0.0263933469509479,-0.0700232224608813,0.0334367964497745,-0.0182932130055534,-0.0182932130055534,0,TRUE,-0.693099402646865,0.488247172520624,0.690616683994313,FALSE,"support_80",-0.0172749349218963,0.0275420569329965,-0.0712563745707212,0.0367065047269286,-0.0172749349218963,-0.0172749349218963,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-05","Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)",1,5,"BA-M6","primary_any_valid",-0.0686022329827491,0.0415506608303478,-0.15004003174407,0.0128355657785718,-0.0686022329827491,-0.0686022329827491,0,TRUE,-1.65105034701742,0.0987282948379121,0.444277326770604,FALSE,"support_80",-0.0598972897528408,0.0437326758033658,-0.145611759275004,0.0258171797693224,-0.0598972897528408,-0.0598972897528408,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-06","Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)",1,6,"BA-M6","primary_any_valid",-0.0918098527524006,0.0326224507787293,-0.155748681366141,-0.0278710241386606,-0.0918098527524006,-0.0918098527524006,0,TRUE,-2.81431500579543,0.00488813030678231,0.0439931727610408,TRUE,"support_80",-0.0915156117681678,0.033059327078582,-0.156310702195318,-0.0267205213410174,-0.0915156117681678,-0.0915156117681678,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-07","Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)",1,7,"BA-M6","primary_any_valid",0.0302409334706975,0.0314308946458532,-0.0313624880370475,0.0918443549784424,0.0302409334706975,0.0302409334706975,0,TRUE,0.962140397574949,0.335979083866733,0.690616683994313,FALSE,"support_80",0.0195122643168152,0.0328199382926196,-0.0448136327115462,0.0838381613451765,0.0195122643168152,0.0195122643168152,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-08","Wake outside the three hours before sleep","Daytime","UCR","San José (CR)",1,8,"BA-M6","primary_any_valid",0.0332869395701004,0.0537204932320019,-0.072003292396351,0.138577171536552,0.0332869395701003,0.0332869395701003,0,TRUE,0.619632054127734,0.535500058324867,0.690616683994313,FALSE,"support_80",0.0373017291978686,0.05459336461231,-0.0696992992371224,0.14430275763286,0.0373017291978687,0.0373017291978687,-8.32667268468867e-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-09","Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)",1,9,"BA-M6","primary_any_valid",-0.0620383191423341,0.030667720837632,-0.122145947472021,-0.00193069081264697,-0.0620383191423341,-0.0620383191423341,0,TRUE,-2.02291912955617,0.0430814859430531,0.284974345227772,FALSE,"support_80",-0.0609557169737507,0.0317523520748411,-0.123189183464875,0.00127774951737351,-0.0609557169737506,-0.0609557169737506,-8.32667268468867e-17,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"BA-M6-10","Pre-sleep","Pre-sleep","RISE","Borås (SE)",2,1,"BA-M6","primary_any_valid",-0.0646860443494903,0.0584489759766514,-0.179243932196974,0.0498718434979933,-0.0646860443494903,-0.0646860443494903,3.46944695195361e-17,TRUE,-1.10670962610757,0.268419492160555,0.690616683994313,FALSE,"support_80",-0.09203738565764,0.0625782734097382,-0.214688547755427,0.0306137764401474,-0.0920373856576398,-0.09203738565764,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-11","Pre-sleep","Pre-sleep","THUAS","Delft (NL)",2,2,"BA-M6","primary_any_valid",0.021207958028651,0.0710616146323986,-0.118070247334115,0.160486163391417,0.021207958028651,0.021207958028651,3.46944695195361e-17,TRUE,0.298444640448428,0.765363822339439,0.895807647438067,FALSE,"support_80",-0.0497487178742632,0.0855669013982976,-0.217456762883616,0.11795932713509,-0.0497487178742629,-0.0497487178742629,-1.31838984174237e-16,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"BA-M6-12","Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)",2,3,"BA-M6","primary_any_valid",0.0250945312066366,0.0592205743640051,-0.0909756616905893,0.141164724103863,0.0250945312066366,0.0250945312066365,3.46944695195361e-17,TRUE,0.423746839272287,0.671750451608618,0.824421008792394,FALSE,"support_80",0.0319769222779227,0.0648038891963137,-0.0950363666049765,0.158990211160822,0.0319769222779229,0.0319769222779226,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-13","Pre-sleep","Pre-sleep","MPI","Tübingen (DE)",2,4,"BA-M6","primary_any_valid",-0.0519577066603463,0.0474307411828234,-0.144920251138721,0.0410048378180283,-0.0519577066603463,-0.0519577066603465,3.46944695195361e-17,TRUE,-1.0954437009549,0.273322297491149,0.690616683994313,FALSE,"support_80",-0.0122800129888437,0.0509076056045985,-0.112057086513026,0.0874970605353387,-0.0122800129888434,-0.0122800129888436,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-14","Pre-sleep","Pre-sleep","TUM","Munich (DE)",2,5,"BA-M6","primary_any_valid",-0.0454961781222669,0.0737217107970789,-0.189988076163219,0.0989957199186853,-0.0454961781222669,-0.0454961781222669,3.46944695195361e-17,TRUE,-0.617134052240004,0.537146309773354,0.690616683994313,FALSE,"support_80",-0.0583250886566161,0.0774393747462994,-0.210103474144664,0.0934532968314313,-0.0583250886566158,-0.058325088656616,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-15","Pre-sleep","Pre-sleep","FUSPCEU","Madrid (ES)",2,6,"BA-M6","primary_any_valid",0.0121598448270715,0.056451064033703,-0.0984822075679508,0.122801897222094,0.0121598448270715,0.0121598448270715,3.46944695195361e-17,TRUE,0.215405059855235,0.829451525405617,0.895807647438067,FALSE,"support_80",0.0486452616840241,0.0596030852989858,-0.0681746388694568,0.165465162237505,0.0486452616840245,0.0486452616840243,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BA-M6-16","Pre-sleep","Pre-sleep","IZTECH","Izmir (TR)",2,7,"BA-M6","primary_any_valid",-0.0398278300486976,0.0608827204151549,-0.159155769343223,0.0795001092458274,-0.0398278300486976,-0.0398278300486976,3.46944695195361e-17,TRUE,-0.654172970214118,0.513000373731491,0.690616683994313,FALSE,"support_80",0.0399516530820332,0.0695494221355329,-0.0963627094491841,0.17626601561325,0.0399516530820335,0.0399516530820334,-1.31838984174237e-16,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"BA-M6-17","Pre-sleep","Pre-sleep","UCR","San José (CR)",2,8,"BA-M6","primary_any_valid",0.0974994208233932,0.0931758359688941,-0.0851218619050508,0.280120703551837,0.0974994208233932,0.0974994208233932,3.46944695195361e-17,TRUE,1.046402426225,0.29537527305347,0.690616683994313,FALSE,"support_80",0.0749585421950803,0.0980351553991806,-0.117186831606101,0.267103915996262,0.0749585421950806,0.0749585421950803,-1.31838984174237e-16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
