"analysis_state","state_display","site","site_display","state_order","site_order","member_id","sample_id","family","estimate","standard_error","conf_low","conf_high","from_M4_minus_M1","from_free_M5_minus_work_M5","state_sum","reconciliation_passed","statistic","p_value","p_adjusted","fdr_significant"
"Wake outside the three hours before sleep","Daytime","RISE","Borås (SE)",1,1,"BA-M6-01","primary_any_valid","BA-M6",-0.000710346266474552,0.0410974904936424,-0.0812599474889909,0.0798392549560418,-0.000710346266474544,-0.000710346266474538,0,TRUE,-0.0172844195093722,0.986209715178377,0.986209715178377,FALSE
"Wake outside the three hours before sleep","Daytime","THUAS","Delft (NL)",1,2,"BA-M6-02","primary_any_valid","BA-M6",0.0296031033196411,0.0448856714926736,-0.0583711962278953,0.117577402867177,0.0296031033196411,0.0296031033196411,0,TRUE,0.659522344997624,0.509560402054258,0.690616683994313,FALSE
"Wake outside the three hours before sleep","Daytime","BAUA","Dortmund (DE)",1,3,"BA-M6-03","primary_any_valid","BA-M6",0.148322987789073,0.0412516561706008,0.0674712273920658,0.22917474818608,0.148322987789073,0.148322987789073,0,TRUE,3.59556443444759,0.000323688995495099,0.00436980143918384,TRUE
"Wake outside the three hours before sleep","Daytime","MPI","Tübingen (DE)",1,4,"BA-M6-04","primary_any_valid","BA-M6",-0.0182932130055534,0.0263933469509479,-0.0700232224608813,0.0334367964497745,-0.0182932130055534,-0.0182932130055534,0,TRUE,-0.693099402646865,0.488247172520624,0.690616683994313,FALSE
"Wake outside the three hours before sleep","Daytime","TUM","Munich (DE)",1,5,"BA-M6-05","primary_any_valid","BA-M6",-0.0686022329827491,0.0415506608303478,-0.15004003174407,0.0128355657785718,-0.0686022329827491,-0.0686022329827491,0,TRUE,-1.65105034701742,0.0987282948379121,0.444277326770604,FALSE
"Wake outside the three hours before sleep","Daytime","FUSPCEU","Madrid (ES)",1,6,"BA-M6-06","primary_any_valid","BA-M6",-0.0918098527524006,0.0326224507787293,-0.155748681366141,-0.0278710241386606,-0.0918098527524006,-0.0918098527524006,0,TRUE,-2.81431500579543,0.00488813030678231,0.0439931727610408,TRUE
"Wake outside the three hours before sleep","Daytime","IZTECH","Izmir (TR)",1,7,"BA-M6-07","primary_any_valid","BA-M6",0.0302409334706975,0.0314308946458532,-0.0313624880370475,0.0918443549784424,0.0302409334706975,0.0302409334706975,0,TRUE,0.962140397574949,0.335979083866733,0.690616683994313,FALSE
"Wake outside the three hours before sleep","Daytime","UCR","San José (CR)",1,8,"BA-M6-08","primary_any_valid","BA-M6",0.0332869395701004,0.0537204932320019,-0.072003292396351,0.138577171536552,0.0332869395701003,0.0332869395701003,0,TRUE,0.619632054127734,0.535500058324867,0.690616683994313,FALSE
"Wake outside the three hours before sleep","Daytime","KNUST","Kumasi (GH)",1,9,"BA-M6-09","primary_any_valid","BA-M6",-0.0620383191423341,0.030667720837632,-0.122145947472021,-0.00193069081264697,-0.0620383191423341,-0.0620383191423341,0,TRUE,-2.02291912955617,0.0430814859430531,0.284974345227772,FALSE
"Pre-sleep","Pre-sleep","RISE","Borås (SE)",2,1,"BA-M6-10","primary_any_valid","BA-M6",-0.0646860443494903,0.0584489759766514,-0.179243932196974,0.0498718434979933,-0.0646860443494903,-0.0646860443494903,3.46944695195361e-17,TRUE,-1.10670962610757,0.268419492160555,0.690616683994313,FALSE
"Pre-sleep","Pre-sleep","THUAS","Delft (NL)",2,2,"BA-M6-11","primary_any_valid","BA-M6",0.021207958028651,0.0710616146323986,-0.118070247334115,0.160486163391417,0.021207958028651,0.021207958028651,3.46944695195361e-17,TRUE,0.298444640448428,0.765363822339439,0.895807647438067,FALSE
"Pre-sleep","Pre-sleep","BAUA","Dortmund (DE)",2,3,"BA-M6-12","primary_any_valid","BA-M6",0.0250945312066366,0.0592205743640051,-0.0909756616905893,0.141164724103863,0.0250945312066366,0.0250945312066365,3.46944695195361e-17,TRUE,0.423746839272287,0.671750451608618,0.824421008792394,FALSE
