"domain","status","details"
"semantic disposition and exact reversal","PASS","REPAIRED with 941 reversible substitutions"
"visible and structural invariance across semantic hook","PASS","Visible text, values, order, captions, notes, and links unchanged"
"native gt endpoints","PASS","15 native gt tables in accepted order"
"formula table endpoint","PASS","Nine exact formula rows in one semantic table with no separate output"
"figure endpoints and durable identities","PASS","Five rendered resources equal accepted durable PNGs"
"document IDs and table header references","PASS","281 unique document IDs and 864 headers tokens resolve"
"reader links and dynamic targets","PASS","All 26 expected targets and exact deviation anchors pass"
"reader scientific hierarchy and qualifications","PASS","Answer in brief, samples, scales, FDR, checks, sensitivities, and limits pass"
"country-coded sites and active navigation","PASS","Every visible submitted site includes its country code and H08 navigation is active"
"embedded execution defects","PASS","Zero embedded error, warning, stderr, unresolved reference, or raw trace"
"historical H08 tests","PASS","Both historical tests remain exact and unexecuted"
"build delta classification","PASS","3 classified build deltas and no removals"
"protected identity reconciliation","PASS","153 protected paths, with only result HTML transitioning"
"historical Stage 3 manifest transition","PASS","99/102 live-exact with three expected historical transitions"
"phase-4 historical-to-fresh transition","PASS","Shared manifest exact; H08 HTML row classified historical-to-fresh"
"170 mm figure typography contract","PASS","All five result figures retain at least 7 pt essential text at 170 mm"
