"endpoint_type","order","observed","expected","exact_match"
"table",1,"tbl-h08-metrics","tbl-h08-metrics",TRUE
"table",2,"tbl-h08-formulas","tbl-h08-formulas",TRUE
"table",3,"tbl-h08-families","tbl-h08-families",TRUE
"table",4,"tbl-h08-primary-samples","tbl-h08-primary-samples",TRUE
"table",5,"tbl-h08-near-eye-results","tbl-h08-near-eye-results",TRUE
"table",6,"tbl-h08-near-eye-predictions","tbl-h08-near-eye-predictions",TRUE
"table",7,"tbl-h08-chest-results","tbl-h08-chest-results",TRUE
"table",8,"tbl-h08-interactions","tbl-h08-interactions",TRUE
"table",9,"tbl-h08-paired-placement","tbl-h08-paired-placement",TRUE
"table",10,"tbl-h08-response-gate","tbl-h08-response-gate",TRUE
"table",11,"tbl-h08-flagged-diagnostics","tbl-h08-flagged-diagnostics",TRUE
"table",12,"tbl-h08-site-influence","tbl-h08-site-influence",TRUE
"table",13,"tbl-h08-gap-common-sample","tbl-h08-gap-common-sample",TRUE
"table",14,"tbl-h08-photoperiod-participant-summary","tbl-h08-photoperiod-participant-summary",TRUE
"table",15,"tbl-h08-metric-definition-sensitivities","tbl-h08-metric-definition-sensitivities",TRUE
"figure",1,"fig-h08-near-eye-effects","fig-h08-near-eye-effects",TRUE
"figure",2,"fig-h08-chest-effects","fig-h08-chest-effects",TRUE
"figure",3,"fig-h08-paired-placement","fig-h08-paired-placement",TRUE
"figure",4,"fig-h08-model-adequacy","fig-h08-model-adequacy",TRUE
"figure",5,"fig-h08-gap-common-sample","fig-h08-gap-common-sample",TRUE
