"table","token","local_resolution_count","document_resolution_count","status"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0001",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0002",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0003",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0004",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0005",1,1,"PASS"
"table-1","tbl-h08-metrics--gt-0006",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0003",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0004",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0005",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0006",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0007",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0008",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0009",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0010",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0011",1,1,"PASS"
"table-2","tbl-h08-formulas--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
"table-3","tbl-h08-families--gt-0003",1,1,"PASS"
"table-3","tbl-h08-families--gt-0004",1,1,"PASS"
"table-3","tbl-h08-families--gt-0005",1,1,"PASS"
"table-3","tbl-h08-families--gt-0006",1,1,"PASS"
"table-3","tbl-h08-families--gt-0001",1,1,"PASS"
"table-3","tbl-h08-families--gt-0002",1,1,"PASS"
