"domain","observed","expected","status"
"dispatch hard pins","32","32","PASS"
"R chunks","22","22","PASS"
"native table endpoints","15","15","PASS"
"figure endpoints","5","5","PASS"
"relative reader targets","26","26","PASS"
"prohibited source calls","0","0","PASS"
"formula and reader contracts","18","18","PASS"
"frozen scientific contracts","9","9","PASS"
"historical Stage 3 manifest","100/102 live-exact","100/102 live-exact","PASS"
"170 mm figure typography","5/5 >=7 pt","5/5 >=7 pt","PASS"
"historical H08 tests","2 preserved, 0 executed","2 preserved, 0 executed","PASS"
"build symlinks","0","0","PASS"
"protected files","153","complete","PASS"
"R version","4.6.1","4.6.1","PASS"
"Quarto version","1.9.37","1.9.37","PASS"
