check,status,evidence,details
desktop_1440x1000,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 1440 px. All 15 tables, five figures, 18 headings, the Answer in brief callout, captions, disclosures, links, axes, legends, symbols, and site codes were inspected without clipping, overlap, or page-level horizontal overflow."
narrow_708x1000,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 708 px. All 15 tables reflowed within the page without requiring a horizontal scroller. All five figures, captions, headings, callout content, links, and disclosures remained readable and contained."
zoom_equivalent_720x500,PASS,browser_qa_measurements.json,"Document client and scroll widths were both 720 px. All 15 tables and five figures were reachable by ordinary page scrolling, remained horizontally contained, and had no fixed-header obstruction or page-level overflow."
narrow_sidebar_navigation,PASS,visual_zoom_sidebar_open_720x500.png,"The sidebar opened at 720 by 500, exposed the H08 results and H08 preparation and provenance entries, dimmed the page without distortion, and closed cleanly."
internal_anchor_navigation,PASS,visual_desktop_deep_anchor_1440x1000.png,"The visible Dataset sensitivity anchor moved the reader to the intended deep section on the H08 route. All 37 in-page anchor references resolved to exactly one target."
figure_resource_loading,PASS,browser_qa_measurements.json,"All five result images loaded completely and reported their expected intrinsic dimensions: 2007 by 1606, 2007 by 1606, 2007 by 2007, 2007 by 2952, and 2007 by 2007 pixels."
browser_console,PASS,browser_console_warn_error.json,"Zero warning or error console entries were recorded."
figure_near_eye_170mm,PASS,artifacts/12_manifests/H08/physical_size_qa/fig-h08-near-eye-effects_A4_170mm.png,"A4 portrait proof inspected at 170 mm between 20-mm side margins. Smallest essential nominal and effective text were both 7.5 pt. No clipping, overlap, wrapping defect, distortion, or data-region imbalance."
figure_chest_170mm,PASS,artifacts/12_manifests/H08/physical_size_qa/fig-h08-chest-effects_A4_170mm.png,"A4 portrait proof inspected at 170 mm between 20-mm side margins. Smallest essential nominal and effective text were both 7.5 pt. No clipping, overlap, wrapping defect, distortion, or data-region imbalance."
figure_paired_placement_170mm,PASS,artifacts/12_manifests/H08/physical_size_qa/fig-h08-paired-placement_A4_170mm.png,"A4 portrait proof inspected at 170 mm between 20-mm side margins. Smallest essential nominal and effective text were both 7.5 pt. Equal-axis geometry remained undistorted and all labels, intervals, lines, and legend entries were distinct."
figure_model_adequacy_170mm,PASS,artifacts/12_manifests/H08/physical_size_qa/fig-h08-model-adequacy_A4_170mm.png,"A4 portrait proof inspected at 170 mm between 20-mm side margins. Smallest essential nominal and effective text were both 7.5 pt. All nine metric strips and 18 diagnostic regions remained balanced, legible, and fully contained."
figure_gap_common_sample_170mm,PASS,artifacts/12_manifests/H08/physical_size_qa/fig-h08-gap-common-sample_A4_170mm.png,"A4 portrait proof inspected at 170 mm between 20-mm side margins. Smallest essential nominal and effective text were both 7.5 pt. All point labels, symbols, lines, axes, and legend entries were legible without overlap."
screenshot_evidence,PASS,visual_screenshot_manifest.csv,"Seventy-four route screenshots cover the three required viewports, all table and figure endpoints, top-of-page states, internal navigation, and the opened narrow sidebar."
