"path","manifest_sha256","observed_sha256","exact","classification"
"audit/hypotheses/H08/01_audit_and_plan.html","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362","8e20bf5bfb22ff6d83ffaf1907dd358e7d37595ed2733951e509dd45b2496362",TRUE,"live-exact"
"audit/hypotheses/H08/01_audit_and_plan.qmd","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109","294f847cb4cfbf67458048b5d3a308328e3056ae1e144f968f2ed8ec4203b109",TRUE,"live-exact"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.html","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155","2fd29721b39169a6541958c94609f4eceac10d9fde0cddf998bcd47868560155",TRUE,"live-exact"
"audit/hypotheses/H08/02_implementation_and_v0_comparison.qmd","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4","73a24cba127d42e568e20f79b76631185a95b10b5c8e5accce2865eef052cfb4",TRUE,"live-exact"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/css/pagedtable.css","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e","5c621614fdc6dba1a742c9daf0b9d7c4e145afcde1eac4ac669766d18e53062e",TRUE,"live-exact"
"audit/hypotheses/H08/02_implementation_and_v0_comparison_files/libs/pagedtable-1.1/js/pagedtable.js","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314","b80fc1d3d2cef5e07a67f4243de596383bb333891320acddae34e487c5368314",TRUE,"live-exact"
"scripts/hypotheses/H08/build_h08_figure_physical_size_qa.R","2f17f26025c4a5eab63334e3f5d1b08e6f7d45b88a0bd5c2fa1f84884c0b2985","2f17f26025c4a5eab63334e3f5d1b08e6f7d45b88a0bd5c2fa1f84884c0b2985",TRUE,"live-exact"
"scripts/hypotheses/H08/build_h08_preparation_artifacts.R","766ae731c44166fc69fec9cf876864aa0208db3be14c240c35cdda58f57fc8ee","766ae731c44166fc69fec9cf876864aa0208db3be14c240c35cdda58f57fc8ee",TRUE,"live-exact"
"scripts/hypotheses/H08/build_h08_preparation_report_manifest.R","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014","55fb72225d86ae694778339f395c0bd23f1870ea587bff1a29741af729727014",TRUE,"live-exact"
"scripts/hypotheses/H08/build_h08_stage3_manifest.R","1ae2e73a17098b8d42218101c36f6f9d8285f133dbdea20292b94c5e83839c30","1ae2e73a17098b8d42218101c36f6f9d8285f133dbdea20292b94c5e83839c30",TRUE,"live-exact"
"scripts/hypotheses/H08/h08_contract.R","93ec86fad7decfea5af214627f5a465c6f1e4f4f7f29102ab45255dfd113068e","93ec86fad7decfea5af214627f5a465c6f1e4f4f7f29102ab45255dfd113068e",TRUE,"live-exact"
"scripts/hypotheses/H08/h08_modeling.R","2eabd080504f9328869f43bc5928d980b58900bf111e6ddf25bca1c81fd9b386","2eabd080504f9328869f43bc5928d980b58900bf111e6ddf25bca1c81fd9b386",TRUE,"live-exact"
"scripts/hypotheses/H08/rebuild_h08_reader_figures.R","96be883521683fbb951b715dd14b5eb1b6986abd5cfdf60f21fecc4e8857302c","96be883521683fbb951b715dd14b5eb1b6986abd5cfdf60f21fecc4e8857302c",TRUE,"live-exact"
"scripts/hypotheses/H08/reseal_h08_l10_metric011.R","d8b930f98a05eb9e082541994affed59e8cace1d4c057da4860fda77f3f49565","d8b930f98a05eb9e082541994affed59e8cace1d4c057da4860fda77f3f49565",TRUE,"live-exact"
"scripts/hypotheses/H08/run_h08_stage2.R","b93654621bc42a64efe2cf5393cd66c58ab37d69f3ef471f5a49d84a1a4cd8f6","b93654621bc42a64efe2cf5393cd66c58ab37d69f3ef471f5a49d84a1a4cd8f6",TRUE,"live-exact"
