"item","category","present","status"
"response_value ~ site + (1 | site:Id)","formula_literal",TRUE,"PASS"
"response_value ~ site + VLSQ8_c + (1 | site:Id)","formula_literal",TRUE,"PASS"
"response_value ~ site * VLSQ8_c + (1 | site:Id)","formula_literal",TRUE,"PASS"
"response_value ~ site + photoperiod_c + (1 | site:Id)","formula_literal",TRUE,"PASS"
"response_value ~ site + photoperiod_c + VLSQ8_c + (1 | site:Id)","formula_literal",TRUE,"PASS"
"response_value ~ site * VLSQ8_c + photoperiod_c + (1 | site:Id)","formula_literal",TRUE,"PASS"
"participant_response ~ site","formula_literal",TRUE,"PASS"
"participant_response ~ site + VLSQ8_c","formula_literal",TRUE,"PASS"
"participant_response ~ site * VLSQ8_c","formula_literal",TRUE,"PASS"
"Answer in brief","reader_contract",TRUE,"PASS"
"Visual Light Sensitivity Questionnaire (VLSQ-8)","reader_contract",TRUE,"PASS"
"False-discovery-rate (FDR) adjustment","reader_contract",TRUE,"PASS"
"difference in hours","reader_contract",TRUE,"PASS"
"ratios and corresponding percentage changes","reader_contract",TRUE,"PASS"
"same participants and participant-days","reader_contract",TRUE,"PASS"
"none of the nine associations retained FDR-adjusted support","reader_contract",TRUE,"PASS"
"The primary **near-eye sensor position**","reader_contract",TRUE,"PASS"
"The complementary **chest sensor position**","reader_contract",TRUE,"PASS"
