event,status,evidence,details
served_root_symlink_precheck,PASS,preflight_status.csv,"No symlink existed under _build/nathealth, so no served path could escape the authorized root."
port_precheck,PASS,process_preflight.csv,"No process was listening on 127.0.0.1:8774 before QA."
sandbox_bind_attempt,NO_SERVER_CREATED,terminal_record,"The initial sandboxed bind was denied by the operating system before a socket or server process was created."
authorized_loopback_start,PASS,session_52394,"Exactly one temporary server process started with _build/nathealth as its working root and bound only to 127.0.0.1:8774."
request_scope,PASS,session_52394,"The server received the H08 result route and its required local CSS, JavaScript, font, and five H08 figure resources. A browser-originated favicon request returned 404 and had no reader-facing or console effect."
qa_tab_close,PASS,browser_runtime,"The agent-created H08 QA tab was closed after inspection."
viewport_reset,PASS,browser_runtime,"The explicit viewport override was reset after inspection."
server_stop,PASS,session_52394,"A single interrupt stopped the temporary server and the process exited with code 0."
listener_postcheck,PASS,lsof_127.0.0.1_8774,"lsof returned no listener on TCP port 8774 after shutdown."
process_postcheck,PASS,process_scan,"No Quarto, Pandoc, temporary HTTP server, semantic hook, or order-specific verifier process remained after QA."
