"order","endpoint","native_gt_count","caption_count","rows","header_cells","body_cells","caption","status"
1,"tbl-h08-metrics",1,1,10,6,54,"Table 1: H08 light-exposure metrics, response specifications, and reported effect scales.","PASS"
2,"tbl-h08-formulas",1,1,10,11,9,"Table 2: Exact evaluated Wilkinson formulas used in H08.","PASS"
3,"tbl-h08-families",1,1,10,6,49,"Table 3: Complete H08 multiplicity families.","PASS"
4,"tbl-h08-primary-samples",1,1,11,3,28,"Table 4: Exact primary-dataset fitted samples by metric and placement.","PASS"
5,"tbl-h08-near-eye-results",1,1,11,6,55,"Table 5: Primary near-eye site-average VLSQ-8 associations, reported scales, 95% CIs, p-values, and exact fitted samples.","PASS"
6,"tbl-h08-near-eye-predictions",1,1,11,5,46,"Table 6: Primary near-eye predictions at half an SD below and above the VLSQ-8 mean.","PASS"
7,"tbl-h08-chest-results",1,1,11,6,55,"Table 7: Complementary chest VLSQ-8 associations, 95% confidence intervals, p-values, and exact fitted samples.","PASS"
8,"tbl-h08-interactions",1,1,20,5,91,"Table 8: VLSQ-8-by-site interaction tests.","PASS"
9,"tbl-h08-paired-placement",1,1,11,5,46,"Table 9: Exactly paired near-eye and chest component estimates.","PASS"
10,"tbl-h08-response-gate",1,1,11,5,46,"Table 10: Response-model dispositions across the four primary-dataset inferential targets.","PASS"
11,"tbl-h08-flagged-diagnostics",1,1,6,5,21,"Table 11: Primary-dataset model checks requiring explicit qualification.","PASS"
12,"tbl-h08-site-influence",1,1,20,7,127,"Table 12: Leave-one-site-out stability of the primary-dataset average associations.","PASS"
13,"tbl-h08-gap-common-sample",1,1,20,6,109,"Table 13: Primary and gap-timing-unaware associations on exact common participant-day samples.","PASS"
14,"tbl-h08-photoperiod-participant-summary",1,1,20,5,91,"Table 14: Primary, photoperiod-adjusted, and participant-summary estimates.","PASS"
15,"tbl-h08-metric-definition-sensitivities",1,1,10,5,41,"Table 15: Exactly identified longest-period and observed-dose sensitivities.","PASS"
