"target","expected","exact_match"
"../../artifacts/06_model_data/H08/H08_model_frame_by_site.csv","../../artifacts/06_model_data/H08/H08_model_frame_by_site.csv",TRUE
"../../artifacts/06_model_data/H08/H08_model_frame_index.csv","../../artifacts/06_model_data/H08/H08_model_frame_index.csv",TRUE
"../../artifacts/08_diagnostics/H08/H08_model_diagnostics.csv","../../artifacts/08_diagnostics/H08/H08_model_diagnostics.csv",TRUE
"../../artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv","../../artifacts/08_diagnostics/H08/H08_participant_influence_screen.csv",TRUE
"../../artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv","../../artifacts/09_tables/H08/H08_exactly_identified_longest_period_sensitivity.csv",TRUE
"../../artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv","../../artifacts/09_tables/H08/H08_gap_timing_unaware_sensitivity.csv",TRUE
"../../artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv","../../artifacts/09_tables/H08/H08_metric011_bh_recalculation.csv",TRUE
"../../artifacts/09_tables/H08/H08_metric011_result_comparison.csv","../../artifacts/09_tables/H08/H08_metric011_result_comparison.csv",TRUE
"../../artifacts/09_tables/H08/H08_model_results_master.csv","../../artifacts/09_tables/H08/H08_model_results_master.csv",TRUE
"../../artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv","../../artifacts/09_tables/H08/H08_observed_dose_sensitivity.csv",TRUE
"../../artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv","../../artifacts/09_tables/H08/H08_participant_summary_sensitivity.csv",TRUE
"../../artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv","../../artifacts/09_tables/H08/H08_photoperiod_sensitivity.csv",TRUE
"../../artifacts/09_tables/H08/H08_site_specific_slopes.csv","../../artifacts/09_tables/H08/H08_site_specific_slopes.csv",TRUE
"../../artifacts/11_source_data/H08/H08_chest_effects_data.csv","../../artifacts/11_source_data/H08/H08_chest_effects_data.csv",TRUE
"../../artifacts/11_source_data/H08/H08_gap_common_sample_effects_data.csv","../../artifacts/11_source_data/H08/H08_gap_common_sample_effects_data.csv",TRUE
"../../artifacts/11_source_data/H08/H08_near_eye_effects_data.csv","../../artifacts/11_source_data/H08/H08_near_eye_effects_data.csv",TRUE
"../../artifacts/11_source_data/H08/H08_near_eye_model_adequacy_data.csv","../../artifacts/11_source_data/H08/H08_near_eye_model_adequacy_data.csv",TRUE
"../../artifacts/11_source_data/H08/H08_paired_placement_effects_data.csv","../../artifacts/11_source_data/H08/H08_paired_placement_effects_data.csv",TRUE
"../../artifacts/12_manifests/H08/H08_figure_manifest.csv","../../artifacts/12_manifests/H08/H08_figure_manifest.csv",TRUE
"../../artifacts/12_manifests/H08/H08_metric011_reconciliation.csv","../../artifacts/12_manifests/H08/H08_metric011_reconciliation.csv",TRUE
"../../audit/decisions/l10_numerical_zero_normalization.md","../../audit/decisions/l10_numerical_zero_normalization.md",TRUE
"../../audit/hypotheses/H08/H08_analysis_preparation.qmd","../../audit/hypotheses/H08/H08_analysis_preparation.qmd",TRUE
"../preparation/04_metric_derivation.qmd","../preparation/04_metric_derivation.qmd",TRUE
"../preparation/06_model_ready_datasets.qmd","../preparation/06_model_ready_datasets.qmd",TRUE
"../preregistration_deviations.qmd#dev-035","../preregistration_deviations.qmd#dev-035",TRUE
"../preregistration_deviations.qmd#dev-036","../preregistration_deviations.qmd#dev-036",TRUE
