"phrase","present","status"
"Answer in brief",TRUE,"PASS"
"184 participants",TRUE,"PASS"
"139–141 participants",TRUE,"PASS"
"655–816 participant-days",TRUE,"PASS"
"153–154 participants",TRUE,"PASS"
"743–902 participant-days",TRUE,"PASS"
"eight complete nine-metric FDR families",TRUE,"PASS"
"primary near-eye",TRUE,"PASS"
"Complementary chest",TRUE,"PASS"
"Model checks and influence",TRUE,"PASS"
"gap-timing-unaware dataset",TRUE,"PASS"
"no FDR-adjusted evidence",TRUE,"PASS"
"not an equivalence",TRUE,"PASS"
"observational",TRUE,"PASS"
