ordinal,timestamp,call_id,within_call_index,observation_id_if_unambiguous,image_path,metadata_path,bytes,sha256,mime_type
1,2026-09-14T15:08:21.075Z,call_jHBfFxT5kir42veuCkwpcPbn,1,,browser_captures/2026-09-14T150821075Z_call_jHBfFxT5kir42veuCkwpcPbn_1.jpg,browser_captures/2026-09-14T150821075Z_call_jHBfFxT5kir42veuCkwpcPbn.json,177293,c6f685707aeef0bab40db6aaa2802cebac2839a3eea6dc82a3f54c99cc8342c7,image/jpeg
2,2026-09-14T15:08:59.429Z,call_ZzaB3PauBPdFnVZYaPdQLAOy,1,I1440-S4-full,browser_captures/2026-09-14T150859429Z_call_ZzaB3PauBPdFnVZYaPdQLAOy_1.jpg,browser_captures/2026-09-14T150859429Z_call_ZzaB3PauBPdFnVZYaPdQLAOy.json,188590,b9afd6b2e39f123de278d0ee76953d4aac89c37c5572fa2b39a8423517eed4aa,image/jpeg
3,2026-09-14T15:08:59.429Z,call_ZzaB3PauBPdFnVZYaPdQLAOy,2,I1440-S7-top,browser_captures/2026-09-14T150859429Z_call_ZzaB3PauBPdFnVZYaPdQLAOy_2.jpg,browser_captures/2026-09-14T150859429Z_call_ZzaB3PauBPdFnVZYaPdQLAOy.json,159100,5735fe42abe9185d2fcc2f3c834ac202517a1894f611d83edbd8695468b085f3,image/jpeg
4,2026-09-14T15:09:24.430Z,call_bCUTrTVeY8QdwT2nXr57GKjo,1,I1440-S7-notes,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo_1.jpg,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo.json,174574,47c7405a714ae112f517e8f9addc1b516b6c402f16a88fee0ff4f748275dc2e4,image/jpeg
5,2026-09-14T15:09:24.430Z,call_bCUTrTVeY8QdwT2nXr57GKjo,2,I1440-S15,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo_2.jpg,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo.json,126297,93c432b022806df60ae5c8ab196daab604bda839e60bf9cc1d46323e97362cc4,image/jpeg
6,2026-09-14T15:09:24.430Z,call_bCUTrTVeY8QdwT2nXr57GKjo,3,I1440-S16,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo_3.jpg,browser_captures/2026-09-14T150924430Z_call_bCUTrTVeY8QdwT2nXr57GKjo.json,174399,f7b5cf11194feea6e735a1474c228f837ac6c066b93d3e6031944c7ba3d87bce,image/jpeg
7,2026-09-14T15:09:51.234Z,call_wko98PvZqVKAvQnHrsqh8Avs,1,I1440-S17,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs_1.jpg,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs.json,124952,fde51ca878da316ae0d18c43e1ee46f31f85a6f6e93b43d0c60a9dd7be512e04,image/jpeg
8,2026-09-14T15:09:51.234Z,call_wko98PvZqVKAvQnHrsqh8Avs,2,I1440-S18,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs_2.jpg,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs.json,121295,d86bd7a2b56a59a75f81f2a08fb39109a22cc082b0d681c980f1b011f66fe902,image/jpeg
9,2026-09-14T15:09:51.234Z,call_wko98PvZqVKAvQnHrsqh8Avs,3,I1440-Results-references,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs_3.jpg,browser_captures/2026-09-14T150951234Z_call_wko98PvZqVKAvQnHrsqh8Avs.json,225517,acdf1be092c5f98fedddbaeae5f3a2ffca3a1e4f0289d0070920d29db9857ed1,image/jpeg
10,2026-09-14T15:18:27.995Z,call_QabxB1qFWR96nSCm6P6mu1Rb,1,I1440-S15-activated,browser_captures/2026-09-14T151827995Z_call_QabxB1qFWR96nSCm6P6mu1Rb_1.jpg,browser_captures/2026-09-14T151827995Z_call_QabxB1qFWR96nSCm6P6mu1Rb.json,217235,8b8682af83ed8458ac1522d3bca283fa8f83d591df401067b35f2516e9455053,image/jpeg
