data_scenario,metric_order,metric_id,paired_keys,exact_key_match
gap_timing_unaware,3,daily_geometric_mean_medi,640,TRUE
gap_timing_unaware,4,m10_mean_medi,640,TRUE
gap_timing_unaware,5,l10_mean_medi,640,TRUE
gap_timing_unaware,6,duration_above_1000,640,TRUE
gap_timing_unaware,7,duration_above_250_wake,592,TRUE
gap_timing_unaware,8,duration_below_10_pre_sleep,615,TRUE
gap_timing_unaware,9,duration_below_1_sleep_environment,621,TRUE
gap_timing_unaware,10,longest_bout_above_250,640,TRUE
gap_timing_unaware,11,m10_midpoint,640,TRUE
gap_timing_unaware,12,l10_midpoint,640,TRUE
gap_timing_unaware,13,mean_timing_above_250,603,TRUE
gap_timing_unaware,14,first_timing_above_250,603,TRUE
gap_timing_unaware,15,last_timing_above_250,603,TRUE
gap_timing_unaware,16,dose_time_sensitive_corrected_medi,640,TRUE
gap_timing_unaware,17,mder_mean_of_viable_ratios,478,TRUE
primary,3,daily_geometric_mean_medi,643,TRUE
primary,4,m10_mean_medi,643,TRUE
primary,5,l10_mean_medi,643,TRUE
primary,6,duration_above_1000,643,TRUE
primary,7,duration_above_250_wake,578,TRUE
primary,8,duration_below_10_pre_sleep,505,TRUE
primary,9,duration_below_1_sleep_environment,608,TRUE
primary,10,longest_bout_above_250,643,TRUE
primary,11,m10_midpoint,643,TRUE
primary,12,l10_midpoint,643,TRUE
primary,13,mean_timing_above_250,573,TRUE
primary,14,first_timing_above_250,563,TRUE
primary,15,last_timing_above_250,524,TRUE
primary,16,dose_time_sensitive_corrected_medi,598,TRUE
primary,17,mder_mean_of_viable_ratios,489,TRUE
