placement,site,biological_sex,participants,age_min,age_median,age_max
chest,BAUA,Female,11,18,31,62
chest,BAUA,Male,9,18,31,62
chest,FUSPCEU,Female,14,20,32,56
chest,FUSPCEU,Male,8,20,32,56
chest,IZTECH,Female,11,21,24,32
chest,IZTECH,Male,6,21,24,32
chest,KNUST,Female,8,18,23,25
chest,KNUST,Male,7,18,23,25
chest,RISE,Female,6,21,39,68
chest,RISE,Male,10,21,39,68
chest,THUAS,Female,6,19,32,59
chest,THUAS,Male,9,19,32,59
chest,TUM,Female,6,20,27.5,29
chest,TUM,Male,4,20,27.5,29
chest,UCR,Female,24,22,34,52
chest,UCR,Male,15,22,34,52
glasses,BAUA,Female,9,20,35,62
glasses,BAUA,Male,9,20,35,62
glasses,FUSPCEU,Female,15,20,31,56
glasses,FUSPCEU,Male,8,20,31,56
glasses,IZTECH,Female,11,21,24,32
glasses,IZTECH,Male,6,21,24,32
glasses,KNUST,Female,8,18,23,25
glasses,KNUST,Male,7,18,23,25
glasses,MPI,Female,14,22,27,46
glasses,MPI,Male,12,22,27,46
glasses,RISE,Female,6,21,40,68
glasses,RISE,Male,7,21,40,68
glasses,THUAS,Female,6,19,29,59
glasses,THUAS,Male,7,19,29,59
glasses,TUM,Female,6,20,27.5,29
glasses,TUM,Male,4,20,27.5,29
glasses,UCR,Female,4,22,25,42
glasses,UCR,Male,2,22,25,42
