run_id,data_scenario,placement,sample_scenario,analytical_role,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,154,154,,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,154,154,,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,3,daily_geometric_mean_medi,Mean melEDI,participant_day,gaussian,log10_offset_0.1,ratio,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,4,m10_mean_medi,Brightest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,5,l10_mean_medi,Darkest 10 h mean,participant_day,gaussian,log10_offset_0.1,ratio,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,6,duration_above_1000,"Time above 1,000 lx melEDI",participant_day,tweedie_log,identity,ratio,897,154,897,897,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,participant_day,tweedie_log,identity,ratio,839,153,839,839,,,8,85,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,participant_day,gaussian,identity,difference,867,154,867,867,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,participant_day,tweedie_log,identity,ratio,878,154,878,878,,,8,86,68,18,68
gap_timing_unaware__chest__all_available,gap_timing_unaware,chest,all_available,gap_timing_unaware_chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,participant_day,gaussian,log10_offset_0.1,ratio,897,154,897,897,,,8,86,68,18,68
