placement,metric_order,metric_id,common_observations,exact_key_match
chest,1,interdaily_stability,153,TRUE
chest,2,intradaily_variability,153,TRUE
chest,3,daily_geometric_mean_medi,894,TRUE
chest,4,m10_mean_medi,894,TRUE
chest,5,l10_mean_medi,894,TRUE
chest,6,duration_above_1000,894,TRUE
chest,7,duration_above_250_wake,800,TRUE
chest,8,duration_below_10_pre_sleep,740,TRUE
chest,9,duration_below_1_sleep_environment,853,TRUE
chest,10,longest_bout_above_250,894,TRUE
chest,11,m10_midpoint,894,TRUE
chest,12,l10_midpoint,894,TRUE
chest,13,mean_timing_above_250,826,TRUE
chest,14,first_timing_above_250,795,TRUE
chest,15,last_timing_above_250,784,TRUE
chest,16,dose_time_sensitive_corrected_medi,847,TRUE
chest,17,mder_mean_of_viable_ratios,723,TRUE
glasses,1,interdaily_stability,141,TRUE
glasses,2,intradaily_variability,141,TRUE
glasses,3,daily_geometric_mean_medi,809,TRUE
glasses,4,m10_mean_medi,809,TRUE
glasses,5,l10_mean_medi,809,TRUE
glasses,6,duration_above_1000,809,TRUE
glasses,7,duration_above_250_wake,719,TRUE
glasses,8,duration_below_10_pre_sleep,653,TRUE
glasses,9,duration_below_1_sleep_environment,771,TRUE
glasses,10,longest_bout_above_250,809,TRUE
glasses,11,m10_midpoint,809,TRUE
glasses,12,l10_midpoint,809,TRUE
glasses,13,mean_timing_above_250,737,TRUE
glasses,14,first_timing_above_250,720,TRUE
glasses,15,last_timing_above_250,684,TRUE
glasses,16,dose_time_sensitive_corrected_medi,757,TRUE
glasses,17,mder_mean_of_viable_ratios,687,TRUE
