run_id,stage,lag_30_minute_bins,correlation,pairs
main__glasses__all_available,preliminary_no_AR1,1,0.6226945612442714,36398
main__glasses__all_available,preliminary_no_AR1,2,0.3408449020372026,35084
main__glasses__all_available,preliminary_no_AR1,3,0.18893806087335446,33793
main__glasses__all_available,preliminary_no_AR1,4,0.10656816752825875,32528
main__glasses__all_available,preliminary_no_AR1,5,0.05953338972471405,31293
main__glasses__all_available,preliminary_no_AR1,6,0.023884352473928946,30084
main__glasses__all_available,final_AR1_standardized,1,0.08257577227092902,36398
main__glasses__all_available,final_AR1_standardized,2,-0.01867205211647322,35084
main__glasses__all_available,final_AR1_standardized,3,-0.005181825818660517,33793
main__glasses__all_available,final_AR1_standardized,4,-0.0014700046391974066,32528
main__glasses__all_available,final_AR1_standardized,5,0.004488685557996011,31293
main__glasses__all_available,final_AR1_standardized,6,-0.013672235200421,30084
