"analysis_state","site","day_type","state_rows","participants","cycles","valid_minutes","expected_minutes","exact_zero","exact_one"
"Wake outside the three hours before sleep","BAUA","Work day",60,19,60,44982,47836,1,0
"Wake outside the three hours before sleep","BAUA","Free day",39,17,39,26316,27207,1,0
"Wake outside the three hours before sleep","FUSPCEU","Work day",68,21,68,51272,53451,2,0
"Wake outside the three hours before sleep","FUSPCEU","Free day",42,18,42,28563,29903,3,0
"Wake outside the three hours before sleep","IZTECH","Work day",67,17,67,48318,52338,3,0
"Wake outside the three hours before sleep","IZTECH","Free day",35,16,35,23983,25325,2,0
"Wake outside the three hours before sleep","KNUST","Work day",42,15,42,31942,34096,0,0
"Wake outside the three hours before sleep","KNUST","Free day",42,14,42,29498,31468,4,0
"Wake outside the three hours before sleep","RISE","Work day",57,15,57,44014,45853,0,0
"Wake outside the three hours before sleep","RISE","Free day",34,15,34,24331,25423,0,0
"Wake outside the three hours before sleep","THUAS","Free day",27,13,27,18788,19884,1,0
"Wake outside the three hours before sleep","THUAS","Work day",50,14,50,37121,39112,2,0
"Wake outside the three hours before sleep","TUM","Work day",30,10,30,21985,23731,1,0
"Wake outside the three hours before sleep","TUM","Free day",30,10,30,20683,22100,2,0
"Wake outside the three hours before sleep","UCR","Work day",146,39,146,115717,123146,1,0
"Wake outside the three hours before sleep","UCR","Free day",75,35,75,54996,58548,0,0
"Pre-sleep","BAUA","Work day",61,19,61,10200,10980,0,8
"Pre-sleep","BAUA","Free day",39,18,39,6507,7020,1,9
"Pre-sleep","FUSPCEU","Work day",69,21,69,11590,12420,0,10
"Pre-sleep","FUSPCEU","Free day",42,17,42,7006,7560,0,9
"Pre-sleep","IZTECH","Work day",73,17,73,11551,13140,1,6
"Pre-sleep","IZTECH","Free day",35,16,35,5145,6300,0,2
"Pre-sleep","KNUST","Work day",42,15,42,6455,7560,2,12
"Pre-sleep","KNUST","Free day",42,14,42,6470,7560,0,12
"Pre-sleep","RISE","Work day",57,15,57,9440,10260,0,2
"Pre-sleep","RISE","Free day",34,15,34,5572,6120,0,3
"Pre-sleep","THUAS","Free day",28,13,28,4439,5040,1,5
"Pre-sleep","THUAS","Work day",47,14,47,7712,8460,1,4
"Pre-sleep","TUM","Work day",30,10,30,5120,5400,0,2
"Pre-sleep","TUM","Free day",28,10,28,4383,5040,1,8
"Pre-sleep","UCR","Work day",144,39,144,24845,25920,2,3
"Pre-sleep","UCR","Free day",74,35,74,12727,13320,0,2
