"domain","status"
"fixed identities","PASS"
"frozen source CSVs","PASS"
"17 R chunks","PASS"
"11 table endpoints","PASS"
"4 figure endpoints","PASS"
"23 links and 21 targets","PASS"
"candidate-identical durable files","PASS"
"source forward and reverse proof","PASS"
"four-row figure manifest","PASS"
"V0 rows","PASS"
"candidate scientific and visual evidence","PASS"
"historical tests exact and unexecuted","PASS"
"unrelated protected scope","PASS"
"build pre-render identity","PASS"
"fresh semantic directory","PASS"
"zero build symlinks","PASS"
"zero competing processes","PASS"
"R, Quarto, and Air versions","PASS"
"scoped git diff check","PASS"
