"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","execution_pin","status"
"/private/tmp/h09_order56_semantic.fqChnu/001__build__nathealth__notebooks__hypotheses__H09.html_gt_semantic_ledger.csv","retained_external_semantic_evidence","47ce3ee4425f071ec581c18b55733af8acd7bac86c26eaf080335462bb3d153a","47ce3ee4425f071ec581c18b55733af8acd7bac86c26eaf080335462bb3d153a",98930,98930,TRUE,"PASS"
"/private/tmp/h09_order56_semantic.fqChnu/gt_html_semantic_post_render_summary.csv","retained_external_semantic_evidence","cda034b5548934e3b986e9a461116b4b6d0f56aa11dbcca18878922ba6414546","cda034b5548934e3b986e9a461116b4b6d0f56aa11dbcca18878922ba6414546",454,454,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/001__build__nathealth__notebooks__hypotheses__H09.html_gt_semantic_ledger.csv","order56_local_evidence","47ce3ee4425f071ec581c18b55733af8acd7bac86c26eaf080335462bb3d153a","47ce3ee4425f071ec581c18b55733af8acd7bac86c26eaf080335462bb3d153a",98930,98930,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/browser_console_warn_error.json","order56_local_evidence","37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570","37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570",3,3,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/browser_qa_measurements.json","order56_local_evidence","5ac87e8a96f7ae5a8759ccd025d218283b873fdb26789fcaee95bb875a31649d","5ac87e8a96f7ae5a8759ccd025d218283b873fdb26789fcaee95bb875a31649d",19299,19299,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_delta_postrender.csv","order56_local_evidence","94c2c99c1d53cddaeba0e4e57b5f9b5bdb6ea98bf015dde1d8be4ad34bf171d5","94c2c99c1d53cddaeba0e4e57b5f9b5bdb6ea98bf015dde1d8be4ad34bf171d5",804,804,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_inventory_postqa.csv","order56_local_evidence","6720965efa3c95f5a8995436f2bdcb4d75820246d67a9d62bdebc3a633cff578","6720965efa3c95f5a8995436f2bdcb4d75820246d67a9d62bdebc3a633cff578",185785,185785,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_inventory_postrender.csv","order56_local_evidence","6720965efa3c95f5a8995436f2bdcb4d75820246d67a9d62bdebc3a633cff578","6720965efa3c95f5a8995436f2bdcb4d75820246d67a9d62bdebc3a633cff578",185785,185785,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_inventory_prerender.csv","order56_local_evidence","b78061019bd232746d376c4c781879966fe0425547aa929003e1e088961708e1","b78061019bd232746d376c4c781879966fe0425547aa929003e1e088961708e1",185785,185785,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_symlink_inventory_postqa.csv","order56_local_evidence","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1",25,25,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_symlink_inventory_postrender.csv","order56_local_evidence","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1",25,25,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/build_symlink_inventory_prerender.csv","order56_local_evidence","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1","7b08ede9a3c66e6d672a273a702458b2bc8f5c44c89da587c48958696c7cb7c1",25,25,TRUE,"PASS"
