"item","present","status"
"timing_hour ~ site + (1 | site:Id)",TRUE,"PASS"
"timing_hour ~ site + mctq_hour_centered + (1 | site:Id)",TRUE,"PASS"
"timing_hour ~ site * mctq_hour_centered + (1 | site:Id)",TRUE,"PASS"
"timing_hour ~ site + meq_10_centered + (1 | site:Id)",TRUE,"PASS"
"timing_hour ~ site * meq_10_centered + (1 | site:Id)",TRUE,"PASS"
"Answer in brief",TRUE,"PASS"
"Munich Chronotype Questionnaire corrected midsleep on free days (MCTQ MSFsc)",TRUE,"PASS"
"Morningness–Eveningness Questionnaire (MEQ)",TRUE,"PASS"
"false-discovery-rate (FDR)",TRUE,"PASS"
"participant-day",TRUE,"PASS"
"random effect",TRUE,"PASS"
"not an equivalence",TRUE,"PASS"
"gap-timing-unaware dataset",TRUE,"PASS"
"50%-per-hour",TRUE,"PASS"
"80%-per-day",TRUE,"PASS"
"time-sensitive primary dataset",TRUE,"PASS"
"does not establish that chronotype causes",TRUE,"PASS"
