"domain","disposition"
"candidate and focused-test gate","PASS"
"one-time durable promotion","PASS"
"complete pre-render gate","PASS"
"single authorized render","CONSUMED_ONCE_EXIT_1"
"knitr source execution","PASS_35_OF_35"
"Quarto Sass cache","STOPPED_UNABLE_TO_OPEN_DATABASE"
"fresh HTML and semantic hook","NOT_REACHED"
"canonical pre-render HTML","BYTE_EXACT"
"durable repaired figures","CANDIDATE_IDENTICAL"
"source, companion, tests, and protected scope","BYTE_EXACT"
"build identity","BYTE_EXACT"
"remaining processes","ZERO"
"second render","NOT_AUTHORIZED"
