"type","observed","expected","status"
"table","tbl-h09-metrics","tbl-h09-metrics","PASS"
"table","tbl-h09-formulas","tbl-h09-formulas","PASS"
"table","tbl-h09-primary-samples","tbl-h09-primary-samples","PASS"
"table","tbl-h09-near-eye-results","tbl-h09-near-eye-results","PASS"
"table","tbl-h09-chest-results","tbl-h09-chest-results","PASS"
"table","tbl-h09-paired-placement","tbl-h09-paired-placement","PASS"
"table","tbl-h09-interactions","tbl-h09-interactions","PASS"
"table","tbl-h09-qualified-diagnostics","tbl-h09-qualified-diagnostics","PASS"
"table","tbl-h09-gap-sensitivity","tbl-h09-gap-sensitivity","PASS"
"table","tbl-h09-sensitivity-summary","tbl-h09-sensitivity-summary","PASS"
"table","tbl-h09-mean-timing-sensitivity","tbl-h09-mean-timing-sensitivity","PASS"
"figure","fig-h09-primary-effects","fig-h09-primary-effects","PASS"
"figure","fig-h09-paired-placement","fig-h09-paired-placement","PASS"
"figure","fig-h09-near-eye-diagnostics","fig-h09-near-eye-diagnostics","PASS"
"figure","fig-h09-chest-diagnostics","fig-h09-chest-diagnostics","PASS"
