"path","rows","all_pass","status"
"no_scientific_call_audit.csv",5,TRUE,"PASS"
"source_row_reconciliation.csv",4,TRUE,"PASS"
"scientific_layer_audit.csv",6,TRUE,"PASS"
"scale_break_label_panel_audit.csv",6,TRUE,"PASS"
"source_layer_cardinality_audit.csv",6,TRUE,"PASS"
"historical_png_reproduction.csv",4,TRUE,"PASS"
"historical_pdf_reproduction.csv",4,TRUE,"PASS"
"candidate_typography_contract.csv",4,TRUE,"PASS"
"candidate_visual_qa.csv",4,TRUE,"PASS"
"source_forward_reverse_proof.csv",2,TRUE,"PASS"
