"path","exact","classification","status"
"audit/hypotheses/H09/01_audit_and_plan.html",TRUE,"live-exact","PASS"
"audit/hypotheses/H09/01_audit_and_plan.qmd",TRUE,"live-exact","PASS"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.html",TRUE,"live-exact","PASS"
"audit/hypotheses/H09/02_implementation_and_v0_comparison.qmd",TRUE,"live-exact","PASS"
"audit/hypotheses/H09/H09_stage1_gate_and_stage2_transition.md",FALSE,"accepted transition","PASS"
"audit/hypotheses/H09/H09_stage2_gate_and_stage3_transition.md",TRUE,"live-exact","PASS"
"audit/hypotheses/H09/H09_stage3_gate_and_stage4_transition.md",TRUE,"live-exact","PASS"
"scripts/hypotheses/H09/build_h09_stage3_manifest.R",TRUE,"live-exact","PASS"
"scripts/hypotheses/H09/finalize_h09_figure_qa.R",TRUE,"live-exact","PASS"
"scripts/hypotheses/H09/h09_contract.R",FALSE,"accepted transition","PASS"
"scripts/hypotheses/H09/h09_modeling.R",TRUE,"live-exact","PASS"
"scripts/hypotheses/H09/run_h09_stage2.R",FALSE,"accepted transition","PASS"
"audit/handoffs/H09_worker_handoff.md",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_diagnostics_chest.pdf",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_diagnostics_chest.png",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.png",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_paired_placement_effects.pdf",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_paired_placement_effects.png",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_primary_effects.pdf",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_primary_effects.png",FALSE,"accepted transition","PASS"
"artifacts/10_figures/H09/H09_v0_chest_recreation.pdf",TRUE,"live-exact","PASS"
"artifacts/10_figures/H09/H09_v0_chest_recreation.png",TRUE,"live-exact","PASS"
"artifacts/10_figures/H09/H09_v0_near_eye_recreation.pdf",TRUE,"live-exact","PASS"
"artifacts/10_figures/H09/H09_v0_near_eye_recreation.png",TRUE,"live-exact","PASS"
