"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","execution_pin","status"
"audit/report_harmonization/report018_h09_order56_consolidated_display_repair_concurrence.md","central repair concurrence","d874576ef3250e139dfc65b68af54742cb0f0ccc444cd1ec19cfbf3b5115d192","d874576ef3250e139dfc65b68af54742cb0f0ccc444cd1ec19cfbf3b5115d192",13031,13031,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order56_stopped_independent_acceptance.md","independent stopped acceptance","1c470541bcd7a125a7332d256389f4b5776075b5923de6f88019c5d0c5b75c28","1c470541bcd7a125a7332d256389f4b5776075b5923de6f88019c5d0c5b75c28",4643,4643,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order56_stopped_independent_acceptance_manifest.csv","independent stopped seal","02dcf6491b22fa154a7036c6badb4f0ea510f54978f92665210cf9dfd43029f5","02dcf6491b22fa154a7036c6badb4f0ea510f54978f92665210cf9dfd43029f5",6637,6637,TRUE,"PASS"
"scripts/report_harmonization/check_h09_order56_stopped_acceptance.R","independent checker","40807ca7788272984227b7afcea33ae509f0ace89d26862bf2e4f3e27ddcbaa2","40807ca7788272984227b7afcea33ae509f0ace89d26862bf2e4f3e27ddcbaa2",13213,13213,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order56_stopped_independent_verification.csv","independent verification","c840236e8c5c84465c1ae3147aaa99b5c8cc36c9124734b872701ca84a2029aa","c840236e8c5c84465c1ae3147aaa99b5c8cc36c9124734b872701ca84a2029aa",2170,2170,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/ORDER56_FAIL_CLOSED_STOP.md","owner stopped record","6f1d5900c51ecc9f7215ecb080d8f1cf0bc10d476e3c0baddb10610f8f8135e5","6f1d5900c51ecc9f7215ecb080d8f1cf0bc10d476e3c0baddb10610f8f8135e5",1241,1241,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/order56_evidence_manifest.csv","owner stopped seal","a9ed20cdafbc27a826574be3337e5a7769b1fff7f129bb0b12a347b490ba7ace","a9ed20cdafbc27a826574be3337e5a7769b1fff7f129bb0b12a347b490ba7ace",22521,22521,TRUE,"PASS"
"audit/hypotheses/H09/report018_order56_result_render/figure_final_size_typography_audit.csv","typography evidence","56f768072d1b9d977d47ddb4f4ca4b068e8feeb650228da6345973b9fb16bd0a","56f768072d1b9d977d47ddb4f4ca4b068e8feeb650228da6345973b9fb16bd0a",3146,3146,TRUE,"PASS"
"notebooks/hypotheses/H09.qmd","frozen result source","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,36970,TRUE,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","stopped result HTML","dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa","dbc9122ca0a7be6e051741d8354f9ebdec8e072753d9b2592d6387f9716a7caa",244127,244127,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","held companion source","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46","7563a933289b1c4a2275eead58ae8cfaa6492fb0a27b7202f4a9be516eb88a46",47901,47901,TRUE,"PASS"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","held companion HTML","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,593181,TRUE,"PASS"
"scripts/hypotheses/H09/run_h09_stage2.R","authorized display-literal target","a234fcaabf254ee924fe3ceb2de1e6c9fbf3ef3f7be1e5a3c5ff3b2cf39bd9c6","a234fcaabf254ee924fe3ceb2de1e6c9fbf3ef3f7be1e5a3c5ff3b2cf39bd9c6",90288,90288,TRUE,"PASS"
