route,id,count
notebooks/descriptives.html,a::stub,8
notebooks/descriptives.html,BAUA,3
notebooks/descriptives.html,Data collection,2
notebooks/descriptives.html,FUSPCEU,3
notebooks/descriptives.html,IZTECH,3
notebooks/descriptives.html,KNUST,3
notebooks/descriptives.html,MPI,3
notebooks/descriptives.html,Overall,3
notebooks/descriptives.html,Participant information,2
notebooks/descriptives.html,RISE,3
notebooks/descriptives.html,Site specifics,2
notebooks/descriptives.html,stub_1_1,8
notebooks/descriptives.html,stub_1_10,5
notebooks/descriptives.html,stub_1_11,4
notebooks/descriptives.html,stub_1_12,3
notebooks/descriptives.html,stub_1_13,3
notebooks/descriptives.html,stub_1_14,3
notebooks/descriptives.html,stub_1_15,3
notebooks/descriptives.html,stub_1_16,2
notebooks/descriptives.html,stub_1_17,2
notebooks/descriptives.html,stub_1_2,8
notebooks/descriptives.html,stub_1_3,8
notebooks/descriptives.html,stub_1_4,8
notebooks/descriptives.html,stub_1_5,8
notebooks/descriptives.html,stub_1_6,8
notebooks/descriptives.html,stub_1_7,6
notebooks/descriptives.html,stub_1_8,6
notebooks/descriptives.html,stub_1_9,5
notebooks/descriptives.html,THUAS,3
notebooks/descriptives.html,TUM,3
notebooks/descriptives.html,UCR,3
notebooks/preparation/01_import_state_alignment.html,Check,2
notebooks/preparation/01_import_state_alignment.html,Chest,3
notebooks/preparation/01_import_state_alignment.html,Near-eye,3
notebooks/preparation/01_import_state_alignment.html,Site,3
notebooks/preparation/01_import_state_alignment.html,Stored-outcome,3
notebooks/preparation/02_coverage_sample_flow.html,Check,2
notebooks/preparation/02_coverage_sample_flow.html,Chest,3
notebooks/preparation/02_coverage_sample_flow.html,Near-eye,3
notebooks/preparation/02_coverage_sample_flow.html,Participant-days,3
notebooks/preparation/02_coverage_sample_flow.html,Placement,2
notebooks/preparation/02_coverage_sample_flow.html,Stored-outcome,2
notebooks/preparation/03_reference_profiles.html,Placement,2
notebooks/preparation/03_reference_profiles.html,Supported-half-hour-periods,2
notebooks/preparation/04_metric_derivation.html,Eligible-days,2
notebooks/preparation/04_metric_derivation.html,Participant-days,2
notebooks/preparation/04_metric_derivation.html,Placement,7
notebooks/preparation/06_model_ready_datasets.html,Check,2
notebooks/preparation/06_model_ready_datasets.html,Columns,2
notebooks/preparation/06_model_ready_datasets.html,Contributing-participant-days,2
notebooks/preparation/06_model_ready_datasets.html,Metric,2
notebooks/preparation/06_model_ready_datasets.html,Participants,2
notebooks/preparation/06_model_ready_datasets.html,Placement,3
notebooks/preparation/06_model_ready_datasets.html,Rows,2
notebooks/preparation/06_model_ready_datasets.html,Rows-in-prepared-frame,2
notebooks/preparation/06_model_ready_datasets.html,Site,3
notebooks/preparation/06_model_ready_datasets.html,Sites,2
notebooks/preparation/06_model_ready_datasets.html,Stored-file,2
notebooks/preparation/06_model_ready_datasets.html,Stored-record,2
notebooks/preparation/06_model_ready_datasets.html,Valid-measurement-hours,2
notebooks/preparation/06_model_ready_datasets.html,Value,2
notebooks/preparation/07_example_days.html,Path,2
notebooks/preparation/07_example_days.html,Site,2
