route,desktop_toc_count,mobile_script_count,main_count,id_count,duplicate_id_values,extra_duplicate_instances,duplicate_bearing_nodes,duplicate_multiset_exact,ids_order_exact,idref_count,unresolved_idrefs,idref_resolution_exact,gt_tables,header_tokens,unresolved_headers,header_resolution_exact,figures,element_id_order_exact,heading_order_exact,captions_exact,figure_alt_exact,links_endpoints_exact,page_navigation_exact,visible_text_exact,non_script_dom_exact,error_nodes
index.html,1,1,1,922,0,0,0,TRUE,TRUE,33,0,TRUE,0,0,0,TRUE,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
supplementary_information.html,1,1,1,123,0,0,0,TRUE,TRUE,9,0,TRUE,0,0,0,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/01_import_state_alignment.html,1,1,1,1184,5,9,14,TRUE,TRUE,671,602,TRUE,14,647,486,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/02_coverage_sample_flow.html,1,1,1,919,6,9,15,TRUE,TRUE,971,838,TRUE,11,950,615,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/03_reference_profiles.html,1,1,1,1383,2,2,4,TRUE,TRUE,571,503,TRUE,11,549,497,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/04_metric_derivation.html,1,1,1,2402,3,8,11,TRUE,TRUE,1099,895,TRUE,14,1075,862,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/05_model_input_acquisition.html,1,1,1,1083,0,0,0,TRUE,TRUE,418,338,TRUE,9,400,342,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/06_model_ready_datasets.html,1,1,1,2630,14,16,30,TRUE,TRUE,1848,1594,TRUE,19,1818,1518,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preparation/07_example_days.html,1,1,1,1239,2,2,4,TRUE,TRUE,326,214,TRUE,7,306,187,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/placement_decision.html,1,1,1,79,0,0,0,TRUE,TRUE,9,0,TRUE,0,0,0,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/descriptives.html,1,1,1,989,31,103,134,TRUE,TRUE,2836,2314,TRUE,8,2813,1002,TRUE,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/preregistration_deviations.html,1,1,1,136,0,0,0,TRUE,TRUE,8,0,TRUE,0,0,0,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
notebooks/hypotheses/H01.html,1,1,1,3678,0,0,0,TRUE,TRUE,11749,0,TRUE,37,11657,0,TRUE,27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
audit/hypotheses/H01/H01_analysis_preparation.html,1,1,1,2477,0,0,0,TRUE,TRUE,1507,0,TRUE,20,1470,0,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0
