logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
1,shared,index.qmd,Environmental and behavioural determinants of the personal light exposome,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,36,1,_build/nathealth/index.html,TRUE,200bdbbf148542dbef34434e02aec515035f34f8148472e076dd09bfc44753a3
2,shared,supplementary_information.qmd,Supplementary Information,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,37,2,_build/nathealth/supplementary_information.html,TRUE,77b421098310328c22838c6a357b4868d36c61fefabe286f4a3ae9c9228992b9
3,preparation,notebooks/preparation/01_import_state_alignment.qmd,"Preparation 01: Import and align light, sleep, and wear data",93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,1,3,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,eea99c7724f254c69a2300e5d9c4336d96fa0c6c5883370f93677006ffe41800
4,preparation,notebooks/preparation/02_coverage_sample_flow.qmd,Preparation 02: Assess coverage and document sample flow,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,2,4,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,a702718dde2d186fa49d35cf9e8787a08d422c7039198485b4d3f0961859a4d2
5,preparation,notebooks/preparation/03_reference_profiles.qmd,Preparation 03: Learn fixed time-of-day reference profiles,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,3,5,_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,ae17ebacb3a2a2fd8d15eae99c90ad84df2641d32eda0887f9292b55644a8330
6,preparation,notebooks/preparation/04_metric_derivation.qmd,Preparation 04: Derive light-exposure metrics,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,4,6,_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,d19bd8868108bb380d2ce9811d32b58d5fb18b716326fbc30b22096a0140a059
7,preparation,notebooks/preparation/05_model_input_acquisition.qmd,Preparation 05: Acquire fixed questionnaire and diary inputs,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,5,7,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,5dd5114fe1f415ef1ccf2a81a326f5d7756f502329bf0527b88ff63b69b1af7e
8,preparation,notebooks/preparation/06_model_ready_datasets.qmd,Preparation 06: Build model-ready datasets,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,6,8,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,0c46d4fa41cd7f32b33ad2bc0e1d5016e7e6c8d33b150b09034a50fdfa0e6b7b
9,preparation,notebooks/preparation/07_example_days.qmd,Preparation 07: Inspect example days from each study site,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,7,9,_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,fc4bd5bfde614f73d223dafc2659d975e8b40e153f4f3cbc4150d28132f8e78d
10,shared,notebooks/placement_decision.qmd,Sensor-placement decision,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,8,10,_build/nathealth/notebooks/placement_decision.html,TRUE,550775eba93827409c5867211ef2867bbc4744f00cf54750fc917f20ad5fcb9b
