route,attribute,token,matches
index.html,aria-labelledby,nav-menu-study--data,1
index.html,aria-labelledby,nav-menu-environment,1
index.html,aria-labelledby,nav-menu-behaviour--time,1
index.html,aria-labelledby,nav-menu-individual-factors,1
index.html,aria-labelledby,nav-menu-supporting-material,1
index.html,aria-labelledby,quarto-navigation-tool-dropdown-0,1
index.html,aria-labelledby,quarto-embedded-source-code-modal-label,1
index.html,aria-describedby,fig-overview-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,tbl-T1-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,tbl-brown-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,fig-H2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,tbl-H4-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,fig-H4-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-metrics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H3H4-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H3-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H5-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H6-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H7-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H9-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H10-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-H11-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,suppfig-phot-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-T2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H1-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H1r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H3-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H6-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H8-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H9-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-describedby,supptbl-H10-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,1
index.html,aria-controls,navbarCollapse,1
index.html,data-bs-target,navbarCollapse,1
supplementary_information.html,aria-labelledby,nav-menu-study--data,1
supplementary_information.html,aria-labelledby,nav-menu-environment,1
supplementary_information.html,aria-labelledby,nav-menu-behaviour--time,1
supplementary_information.html,aria-labelledby,nav-menu-individual-factors,1
