route,id_count,duplicate_id_values,extra_duplicate_instances,duplicate_bearing_nodes,duplicate_multiset_exact,ids_order_exact
index.html,922,0,0,0,TRUE,TRUE
supplementary_information.html,123,0,0,0,TRUE,TRUE
notebooks/preparation/01_import_state_alignment.html,1184,5,9,14,TRUE,TRUE
notebooks/preparation/02_coverage_sample_flow.html,919,6,9,15,TRUE,TRUE
notebooks/preparation/03_reference_profiles.html,1383,2,2,4,TRUE,TRUE
notebooks/preparation/04_metric_derivation.html,2402,3,8,11,TRUE,TRUE
notebooks/preparation/05_model_input_acquisition.html,1083,0,0,0,TRUE,TRUE
notebooks/preparation/06_model_ready_datasets.html,2630,14,16,30,TRUE,TRUE
notebooks/preparation/07_example_days.html,1239,2,2,4,TRUE,TRUE
notebooks/placement_decision.html,79,0,0,0,TRUE,TRUE
notebooks/descriptives.html,989,31,103,134,TRUE,TRUE
notebooks/preregistration_deviations.html,136,0,0,0,TRUE,TRUE
notebooks/hypotheses/H01.html,3678,0,0,0,TRUE,TRUE
audit/hypotheses/H01/H01_analysis_preparation.html,2477,0,0,0,TRUE,TRUE
notebooks/hypotheses/H02.html,274,0,0,0,TRUE,TRUE
audit/hypotheses/H02/H02_analysis_preparation.html,2412,0,0,0,TRUE,TRUE
notebooks/hypotheses/H03.html,209,0,0,0,TRUE,TRUE
audit/hypotheses/H03/H03_analysis_preparation.html,3547,0,0,0,TRUE,TRUE
notebooks/hypotheses/H04.html,257,0,0,0,TRUE,TRUE
audit/hypotheses/H04/H04_analysis_preparation.html,4382,0,0,0,TRUE,TRUE
notebooks/hypotheses/H05.html,645,0,0,0,TRUE,TRUE
audit/hypotheses/H05/H05_analysis_preparation.html,3501,0,0,0,TRUE,TRUE
notebooks/hypotheses/H06.html,1911,0,0,0,TRUE,TRUE
audit/hypotheses/H06/H06_analysis_preparation.html,2808,0,0,0,TRUE,TRUE
notebooks/hypotheses/H06_daily.html,232,0,0,0,TRUE,TRUE
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,585,0,0,0,TRUE,TRUE
notebooks/hypotheses/H07.html,244,0,0,0,TRUE,TRUE
audit/hypotheses/H07/H07_analysis_preparation.html,2002,0,0,0,TRUE,TRUE
notebooks/hypotheses/H08.html,282,0,0,0,TRUE,TRUE
audit/hypotheses/H08/H08_analysis_preparation.html,2463,0,0,0,TRUE,TRUE
notebooks/hypotheses/H09.html,143,0,0,0,TRUE,TRUE
audit/hypotheses/H09/H09_analysis_preparation.html,2112,0,0,0,TRUE,TRUE
notebooks/hypotheses/H10.html,215,0,0,0,TRUE,TRUE
audit/hypotheses/H10/H10_analysis_preparation.html,2076,0,0,0,TRUE,TRUE
notebooks/hypotheses/H11.html,272,0,0,0,TRUE,TRUE
audit/hypotheses/H11/H11_analysis_preparation.html,2393,0,0,0,TRUE,TRUE
notebooks/sensitivity_battery.html,122,0,0,0,TRUE,TRUE
