phase,route,viewport,pass
candidate_mobile,index.html,708x1000,TRUE
candidate_mobile,supplementary_information.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/01_import_state_alignment.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/02_coverage_sample_flow.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/03_reference_profiles.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/04_metric_derivation.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/05_model_input_acquisition.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/06_model_ready_datasets.html,708x1000,TRUE
candidate_mobile,notebooks/preparation/07_example_days.html,708x1000,TRUE
candidate_mobile,notebooks/placement_decision.html,708x1000,TRUE
candidate_mobile,notebooks/descriptives.html,708x1000,TRUE
candidate_mobile,notebooks/preregistration_deviations.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H01.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H01/H01_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H02.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H02/H02_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H03.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H03/H03_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H04.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H04/H04_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H05.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H05/H05_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H06.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H06/H06_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H06_daily.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H07.html,708x1000,TRUE
candidate_mobile,audit/hypotheses/H07/H07_analysis_preparation.html,708x1000,TRUE
candidate_mobile,notebooks/hypotheses/H08.html,708x1000,TRUE
