finding,status,observed,required
content_bearing_disclosures,PASS,4,4
inherited_inert_marker,PASS,1,1
inert_marker_summary,PASS,Show technical source and figure checks,Show technical source and figure checks
inert_marker_parent,PASS,models-and-inference,models-and-inference
following_section_1,PASS,technical-source-and-figure-checks,technical-source-and-figure-checks
following_section_2,PASS,figure-reproducibility,figure-reproducibility
technical_sections_visible_before_toggle,PASS,TRUE,TRUE
technical_sections_visible_after_toggle,PASS,TRUE,TRUE
canonical_page_toc_links,PASS,10,10
cloned_mobile_page_toc_links,PASS,10,10
repository_actions_excluded_from_clone,PASS,2,2
