check,status,detail
central_disposition_and_replay,PASS,19/19 central seal exact; independent R 4.6.1 replay PASS
branch,PASS,rewrite/NH
executed_implementation_preserved,PASS,9a2af18efacfdd593e64d9f44666fce4a34c06710b2918a1e19e2ab45a68085b; 65487 bytes
protected_boundary,PASS,54 protected paths: 50 exact and exactly 4 authorized Order 67a transitions
single_promotion_and_reseal,PASS,38 targets promoted once; 37 HTML shells plus shared include; manifest resealed once
corpus_manifest,PASS,37/37 HTML live exact; historical source paths and hashes retained
build_inventory,PASS,892/892 files equal sealed candidate; zero symbolic links
mobile_route_qa,PASS,candidate 74/74 and production 74/74 at 390 and 708 pixels
desktop_route_qa,PASS,candidate 3/3 and production 3/3 at 1440 pixels
h06_extended_qa,PASS,4/4 view modes; 14 tables; 6 figures; 10/10 mobile TOC links
descriptives_baseline,PASS,candidate and production 708-pixel measurements match accepted internal-scroller baseline
screenshots,PASS,"32 nonempty screenshots sealed, including all 8 production views"
server_teardown,PASS,candidate and production servers stopped; listener 57370 cleared; viewport reset; QA tabs closed
stylesheets,PASS,source and build Nature Health stylesheets exact at 4548 bytes
