order,target_path,candidate_path,pre_sha256,post_sha256,pre_bytes,post_bytes
1,_includes/nathealth-mobile-toc.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_include/nathealth-mobile-toc.html,926a5fc051f032100714ae01b53c5ba2937c91ff2406ab5354484bf8fd7f553d,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1388,1542
2,_build/nathealth/index.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/index.html,200bdbbf148542dbef34434e02aec515035f34f8148472e076dd09bfc44753a3,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405290,405444
3,_build/nathealth/supplementary_information.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/supplementary_information.html,77b421098310328c22838c6a357b4868d36c61fefabe286f4a3ae9c9228992b9,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,47770,47924
4,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/01_import_state_alignment.html,eea99c7724f254c69a2300e5d9c4336d96fa0c6c5883370f93677006ffe41800,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,370347,370501
5,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/02_coverage_sample_flow.html,a702718dde2d186fa49d35cf9e8787a08d422c7039198485b4d3f0961859a4d2,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,312945,313099
6,_build/nathealth/notebooks/preparation/03_reference_profiles.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/03_reference_profiles.html,ae17ebacb3a2a2fd8d15eae99c90ad84df2641d32eda0887f9292b55644a8330,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,357292,357446
7,_build/nathealth/notebooks/preparation/04_metric_derivation.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/04_metric_derivation.html,d19bd8868108bb380d2ce9811d32b58d5fb18b716326fbc30b22096a0140a059,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,556748,556902
8,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/05_model_input_acquisition.html,5dd5114fe1f415ef1ccf2a81a326f5d7756f502329bf0527b88ff63b69b1af7e,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,285816,285970
9,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/06_model_ready_datasets.html,0c46d4fa41cd7f32b33ad2bc0e1d5016e7e6c8d33b150b09034a50fdfa0e6b7b,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,664246,664400
10,_build/nathealth/notebooks/preparation/07_example_days.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preparation/07_example_days.html,fc4bd5bfde614f73d223dafc2659d975e8b40e153f4f3cbc4150d28132f8e78d,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,295618,295772
11,_build/nathealth/notebooks/placement_decision.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/placement_decision.html,550775eba93827409c5867211ef2867bbc4744f00cf54750fc917f20ad5fcb9b,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,47595,47749
12,_build/nathealth/notebooks/descriptives.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/descriptives.html,b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,2261359,2261513
13,_build/nathealth/notebooks/preregistration_deviations.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/preregistration_deviations.html,2f97ce2e737e572819d309e96a7b63e4b985b60ed164a54de835a9624e677cb1,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,159908,160062
14,_build/nathealth/notebooks/hypotheses/H01.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/hypotheses/H01.html,72458413f3a2b025474abdff556feeb897e4a968a254e2f546565348f8a07e4a,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,4581216,4581370
15,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/audit/hypotheses/H01/H01_analysis_preparation.html,9bb80c068570b168e500da0ce5905859e36543ec2c91aed423c9557aaa33aa0a,5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1,740547,740701
16,_build/nathealth/notebooks/hypotheses/H02.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/hypotheses/H02.html,4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,294994,295148
17,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/audit/hypotheses/H02/H02_analysis_preparation.html,438cb5fe7505999f38ed9e17c424fb77bc3a380bc363ef1cb5b0e57a9c4402e6,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,611502,611656
18,_build/nathealth/notebooks/hypotheses/H03.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/hypotheses/H03.html,1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,334074,334228
19,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/audit/hypotheses/H03/H03_analysis_preparation.html,a95e89c6771b7b752b9968e0fa24b0d99f68e1d30853554ced33479ce4eb294e,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a,959047,959201
20,_build/nathealth/notebooks/hypotheses/H04.html,/private/tmp/nathealth-order67a-continuation.37KbaZ/candidate_build/notebooks/hypotheses/H04.html,edb592760ee086c4b58abf7ab8946dbdf2be2c4b35bb7e6f11d84f66f71160e0,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,386517,386671
