check,status,detail
dispatch_and_stop_acceptance_exact,PASS,dispatch 30/30; independent stop acceptance 19/19; owner stop 43/43
accepted_build_exact,PASS,892/892 files exact; zero symlinks
candidate_build_bounded,PASS,892 files; only 37 HTML routes changed
include_postimage_exact,PASS,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980; 1542 bytes; exact one-hunk reverse
html_transitions_exact_reversible,PASS,37/37 unique; one replacement each; each grows 154 bytes
dom_content_semantics_and_legacy_ids_exact,PASS,routes=37; gt_tables=574; figures=177; legacy_duplicate_routes=7; duplicate_values=63; extra_instances=149; duplicate_nodes=212; new_id_drift=0; idref_and_header_resolution_drift=0
local_links_and_fragments_resolve,PASS,references=46834; unresolved=0
h06_composed_reversal,PASS,shell reverse plus 424 semantic reversals and reapplication exact
prospective_manifest_exact,PASS,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b; 11479 bytes; source provenance unchanged
promotion_manifest_presealed,PASS,068e760ad759b73c6d2d8849af00c65d4e4d8251c5e1e11138dd336e750332d6; rows=38
stylesheets_unchanged,PASS,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87; source and build exact
