placement,centered_absolute_latitude_10deg,site,latitude_deg,absolute_latitude_10deg
Near-eye,1.84679987301958,RISE,57.715675,5.7715675
Near-eye,1.27639237301958,THUAS,52.0116,5.20116
Near-eye,1.2250527730195806,BAUA,51.498204,5.1498204
Near-eye,0.9273923730195799,MPI,48.5216,4.85216
Near-eye,0.88856237301958,TUM,48.1333,4.81333
Near-eye,0.11688237301958004,FUSPCEU,40.4165,4.04165
Near-eye,-0.09276762698041985,IZTECH,38.32,3.832
Near-eye,-2.9310476269804195,UCR,9.9372,0.99372
Near-eye,-3.257266884156646,KNUST,6.6750074282377385,0.6675007428237738
Chest,1.9627239196470279,RISE,57.715675,5.7715675
Chest,1.392316419647028,THUAS,52.0116,5.20116
Chest,1.3409768196470284,BAUA,51.498204,5.1498204
Chest,1.0044864196470278,TUM,48.1333,4.81333
Chest,0.23280641964702786,FUSPCEU,40.4165,4.04165
Chest,0.02315641964702797,IZTECH,38.32,3.832
Chest,-2.8151235803529717,UCR,9.9372,0.99372
Chest,-3.141342837529198,KNUST,6.6750074282377385,0.6675007428237738
